Mark,Competitor,Nat,Location,Discipline,Date,Results Score
13:20.11,JAKOB INGEBRIGTSEN,NOR,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1137
13:20.17,CHARLES WHEELER,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1187
13:20.28,HYUGA ENDO,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1136
13:20.29,SAMSON NDIRANGU,KEN,"Municipal Stadium, Kitami (JPN)",5000m,06 JUL 2024,1136
13:20.30,DAVOR AARON BIENENFELD,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1186
13:20.30,SAM PARSONS,GER,"Suzhou Olympic Sports Centre, Suzhou (CHN)",5000m,27 APR 2024,1136
13:20.32,SAM PARSONS,GER,"Egret Stadium, Xiamen (CHN)",5000m,20 APR 2024,1136
13:20.34,BALDVIN MAGNUSSON,ISL,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1136
13:20.34,EDUARDO HERRERA,MEX,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1136
13:20.37,AVINASH MUKUND SABLE,IND,"Jack Kemp Stadium, Los Angeles, CA (USA)",5000m,11 MAY 2024,1136
13:20.42,TAKUMA SUNAOKA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",5000m,28 JUN 2024,1136
13:20.60,JACKSON SHARP,AUS,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,06 JUL 2024,1135
13:20.61,JAMAL ABDELMAJI EISA MOHAMMED,ART,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1135
13:20.65,SEBASTIAN FREY,AUT,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1135
13:20.79,CHARLES WHEELER,GBR,"Morton Stadium, Dublin (IRL)",5000m,12 JUL 2024,1135
13:20.81,THIERRY NDIKUMWENAYO,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",5000m,28 JUN 2024,1134
13:20.89,SERGIO JIMÉNEZ,ESP,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1134
13:20.95,FERNANDO CARRO,ESP,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1134
13:20.96,ABDIHAMID NUR,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1134
13:20.99,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",5000m,30 JUN 2024,1134
13:21.09,LUIS GRIJALVA,GUA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1133
13:21.38,GEORGE MILLS,GBR,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1132
13:21.52,PAUL CHELIMO,USA,"Stade Raymond Troussier, Decines (FRA)",5000m,04 MAY 2024,1132
13:21.55,SHADRACK RONO,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1132
13:21.56,KAZUKI TAMURA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",5000m,28 JUN 2024,1132
13:21.61,DOMINIC LOKINYOMO LOBALU,SUI,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1132
13:21.67,SANTIAGO CATROFE,URU,"Stade Raymond Troussier, Decines (FRA)",5000m,04 MAY 2024,1131
13:21.77,WESLEY KIPTOO,KEN,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1131
13:21.78,ERIC VAN DER ELS,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1131
13:21.87,ABDESSAMAD OUKHELFEN,ESP,"Stade Raymond Troussier, Decines (FRA)",5000m,04 MAY 2024,1131
13:21.92,CHARLES HICKS,GBR,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1131
13:21.99,KY ROBINSON,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1180
13:22.01,HIDETO KOSODE,JPN,"Denka Big Swan Stadium, Niigata (JPN)",5000m,28 JUN 2024,1130
13:22.10,MOGENI BENUEL MAGOMA,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1130
13:22.15,SAMUEL PRAKEL,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1179
13:22.17,AYUMU KOBAYASHI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",5000m,28 JUN 2024,1130
13:22.20,YENEBLO BIYAZEN,ETH,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1130
13:22.26,MAXIME CHAUMETON,RSA,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,06 JUL 2024,1129
13:22.40,YVES NIMUBONA,RWA,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1129
13:22.53,WILLY FINK,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1178
13:22.58,BRIAN KIPYEGON,KEN,"Athletics Stadium, Fukagawa (JPN)",5000m,17 JUL 2024,1128
13:22.68,BEN VEATCH,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1128
13:22.74,JOEL IBLER LILLESØ,DEN,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1128
13:22.75,BASTIEN AUGUSTO,FRA,"Olympiastadion, Stockholm (SWE)",5000m,15 MAY 2024,1128
13:22.75,EMILE HAFASHIMANA,BDI,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1128
13:22.77,ADEL MECHAAL,ESP,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1128
13:22.81,KY ROBINSON,AUS,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1127
13:22.93,THOMAS FAFARD,CAN,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1127
13:22.94,DILLON MAGGARD,USA,"Drake Stadium, Los Angeles, CA (USA)",5000m,17 MAY 2024,1127
13:22.98,SHADRACK RONO,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1127
13:23.02,ALI ABDILMANA,ETH,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1127
13:23.02,CÉLESTIN NDIKUMANA,BDI,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1127
13:23.06,NIBRET MELAK,ETH,"Egret Stadium, Xiamen (CHN)",5000m,20 APR 2024,1127
13:23.08,NAGIYA MORI,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1126
13:23.11,DONOVAN CHRISTIEN,FRA,"FBK Stadium, Hengelo (NED)",5000m,07 JUL 2024,1126
13:23.24,ANDREW COLLEY,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1126
13:23.26,CHARLES WHEELER,GBR,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1126
13:23.26,THIERRY NDIKUMWENAYO,ESP,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1126
13:23.34,TAI DINGER,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1126
13:23.35,CHARLES WHEELER,GBR,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1125
13:23.51,THEO QUAX,NZL,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1125
13:23.58,EDWIN KIPSAISAK,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1125
13:23.60,VICTOR KIMUTAI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1125
13:23.61,ANTHONY CAMERIERI,USA,"Drake Stadium, Los Angeles, CA (USA)",5000m,17 MAY 2024,1125
13:23.63,KAZUYA SHIOJIRI,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1124
13:23.66,FERDINAND KVAN EDMAN,NOR,"Bislett Stadion, Oslo (NOR)",5000m,30 MAY 2024,1124
13:23.71,FERDINAND KVAN EDMAN,NOR,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1124
13:23.74,YUSUKE TAMURA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",5000m,28 JUN 2024,1124
13:23.75,EMMANUEL BOR,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,16 FEB 2024,1173
13:23.78,GULVEER SINGH,IND,"Drake Stadium, Los Angeles, CA (USA)",5000m,17 MAY 2024,1124
13:23.81,TOMOKI OTA,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1124
13:23.83,EFREM GIDEY,IRL,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,06 JUL 2024,1124
13:23.86,FELIX KIPTARUS KORIR,KEN,"Municipal Stadium, Kitami (JPN)",5000m,06 JUL 2024,1124
13:23.91,HAYDEN WILDE,NZL,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1124
13:23.91,WILLIAM KINCAID,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1124
13:24.06,SHUNSUKE YOSHII,JPN,"Municipal Stadium, Hiroshima (JPN)",5000m,29 APR 2024,1123
13:24.08,CASEY CLINGER,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1123
13:24.13,ROGERS KIBET,UGA,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1123
13:24.14,ABDIHAMID NUR,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1123
13:24.15,BRIAN KIPTOO,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1123
13:24.16,TOMMY BRADY,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1172
13:24.16,MORGAN LE GUEN,SUI,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1123
13:24.18,AHMED JAZIRI,TUN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1172
13:24.22,RICHARD YATOR,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1122
13:24.25,AWET NFTALEM KIBRAB,NOR,"Sandnes Stadion, Sandnes (NOR)",5000m,29 JUN 2024,1122
13:24.34,PER SVELA,NOR,"Sandnes Stadion, Sandnes (NOR)",5000m,29 JUN 2024,1122
13:24.39,SEBASTIAN FREY,AUT,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1171
13:24.41,MUTHONI MUIRU,KEN,"Municipal Stadium, Kitami (JPN)",5000m,06 JUL 2024,1122
13:24.44,VICTOR KIPROP,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1122
13:24.44,FERDINAND KVAN EDMAN,NOR,"Sandnes Stadion, Sandnes (NOR)",5000m,29 JUN 2024,1122
13:24.45,KIBET MANGATA,KEN,"Athletics Stadium, Fukagawa (JPN)",5000m,17 JUL 2024,1122
13:24.51,SCOTT BEATTIE,GBR,"Stade Raymond Troussier, Decines (FRA)",5000m,04 MAY 2024,1121
13:24.52,ADEL MECHAAL,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",5000m,28 JUN 2024,1121
13:24.53,DANIEL KINYANJUI,KEN,"FBK Stadium, Hengelo (NED)",5000m,07 JUL 2024,1121
13:24.54,ELZAN BIBIĆ,SRB,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1121
13:24.57,KAZUYA SHIOJIRI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1121
13:24.58,SEBASTIAN FREY,AUT,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1121
13:24.64,DAN KIBET,UGA,"Egret Stadium, Xiamen (CHN)",5000m,20 APR 2024,1121
13:24.73,MEBUKI SUZUKI,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1121
13:24.78,GRANT FISHER,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1120
13:24.80,JAMES WEST,GBR,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1120
13:24.82,ABDRSELAM WORKU,ETH,"FBK Stadium, Hengelo (NED)",5000m,07 JUL 2024,1120
13:24.83,ZAKARIYA MAHAMED,GBR,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1120
13:24.85,ETIENNE DAGUINOS,FRA,"Stade de Stehelin, Bordeaux (FRA)",5000m,19 JUN 2024,1120
13:24.86,ZAKARIYA MAHAMED,GBR,"Morton Stadium, Dublin (IRL)",5000m,12 JUL 2024,1120
13:24.90,MASAYA TURUKAWA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1120
13:24.91,DYLAN JACOBS,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1120
13:24.96,NICKSON LESIYIA PARIKEN,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1120
13:24.99,PAUL CHELIMO,USA,"Olympiastadion, Stockholm (SWE)",5000m,15 MAY 2024,1120
13:25.01,SAMUEL PRAKEL,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1120
13:25.05,SEAN MCGORTY,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1119
13:25.08,MORGAN LE GUEN,SUI,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1119
13:25.08,MAX STUDER,SUI,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1119
13:25.13,KASEY KNEVELBAARD,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1119
13:25.16,MIGUEL MOREIRA,POR,"Keskusurheilukenttä, Joensuu (FIN)",5000m,20 JUL 2024,1119
13:25.19,ADAM FOGG,GBR,"FBK Stadium, Hengelo (NED)",5000m,07 JUL 2024,1119
13:25.29,NICO YOUNG,USA,"The Track at New Balance, Boston, MA (USA) (i)",5000m,08 MAR 2024,1168
13:25.37,BRIAN FAY,IRL,"Suzhou Olympic Sports Centre, Suzhou (CHN)",5000m,27 APR 2024,1118
13:25.41,JONAS RAESS,SUI,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1118
13:25.42,DANIEL NDIRITU,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1118
13:25.47,DANIEL KOSEN,KEN,"Athletic Track, Abashiri (JPN)",5000m,10 JUL 2024,1118
13:25.48,AWET NFTALEM KIBRAB,NOR,"Olympiastadion, Stockholm (SWE)",5000m,15 MAY 2024,1118
13:25.50,KEITA YOSHIDA,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1118
13:25.54,YENEBLO BIYAZEN,ETH,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1118
13:25.59,MORGAN LE GUEN,SUI,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1118
13:25.62,SAM MCENTEE,AUS,"Jack Kemp Stadium, Los Angeles, CA (USA)",5000m,11 MAY 2024,1117
13:25.65,MAHADI ABDI ALI,NED,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1117
13:25.70,PER SVELA,NOR,"Bislett Stadion, Oslo (NOR)",5000m,30 MAY 2024,1117
13:25.71,FLORIAN BREMM,GER,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1117
13:25.78,AHMED MUHUMED,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1117
13:25.81,TATSUHIKO ITO,JPN,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1117
13:25.86,MOGENI BENUEL MAGOMA,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1117
13:25.86,DANIEL SIMMONS,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1117
13:25.87,JACKSON SHARP,AUS,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1117
13:25.93,WESLEY KIPTOO,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1165
13:25.99,JOHN HEYMANS,BEL,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1116
13:26.04,WILLY FINK,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1116
13:26.05,VINCENT KIBET YEGON,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1116
13:26.16,BENARD KETER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1165
13:26.32,MAHADI ABDI ALI,NED,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1164
13:26.32,TAI DINGER,USA,"Morton Stadium, Dublin (IRL)",5000m,12 JUL 2024,1115
13:26.45,FELIX KIPTARUS KORIR,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1115
13:26.47,ERIC VAN DER ELS,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1114
13:26.51,JENBERU SISAY,ETH,"FBK Stadium, Hengelo (NED)",5000m,07 JUL 2024,1114
13:26.52,CHARLES ROTICH,KEN,"Harjun stadion, Jyväskylä (FIN)",5000m,22 MAY 2024,1114
13:26.56,EVANS KIPLAGAT,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1163
13:26.60,MATTHEW RAMSDEN,AUS,"Egret Stadium, Xiamen (CHN)",5000m,20 APR 2024,1114
13:26.60,VALENTIN GONDOUIN,FRA,"Stade Raymond Troussier, Decines (FRA)",5000m,04 MAY 2024,1114
13:26.75,VICTOR KIMUTAI,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1113
13:26.83,ABDESSAMAD OUKHELFEN,ESP,"Estadio Iberoamericano, Huelva (ESP)",5000m,30 APR 2024,1113
13:26.90,DILLON MAGGARD,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1162
13:26.91,NARVE GILJE NORDÅS,NOR,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1113
13:26.92,HENRIK INGEBRIGTSEN,NOR,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1113
13:26.92,MUTHONI MUIRU,KEN,"Aoba Park Athletic Field, Chitose (JPN)",5000m,20 JUL 2024,1113
13:26.93,COSMAS MWANGI BOI,KEN,"Municipal Stadium, Hiroshima (JPN)",5000m,29 APR 2024,1113
13:26.99,NASSIM HASSAOUS,ESP,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1113
13:27.00,MIGUEL COCA,USA,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1113
13:27.04,KOTARO SHINOHARA,JPN,"Aoba Park Athletic Field, Chitose (JPN)",5000m,20 JUL 2024,1112
13:27.20,RONALD KWEMOI,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,15 JUN 2024,1112
13:27.21,JONSON MUGENI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1112
13:27.24,ANTHONY CAMERIERI,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1161
13:27.26,JESSE HAMLIN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1112
13:27.28,ADISU GIRMA,ETH,"Bungertstadion, Rehlingen (GER)",5000m,19 MAY 2024,1112
13:27.28,YUICHIRO NISHIKAWA,JPN,"Aoba Park Athletic Field, Chitose (JPN)",5000m,20 JUL 2024,1112
13:27.34,THERENCE BIZOZA,BDI,"Polisportivo Comunale, San Vito al Tagliamento (ITA)",5000m,02 JUN 2024,1111
13:27.37,PARKER WOLFE,USA,"The Track at New Balance, Boston, MA (USA) (i)",5000m,08 MAR 2024,1160
13:27.42,EMIL DANIELSSON,SWE,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1111
13:27.43,SAID MECHAAL,ESP,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1160
13:27.44,ANTHONY ROTICH,USA,"Hayward Field, Eugene, OR (USA)",5000m,27 JUN 2024,1111
13:27.48,RICHARD ETIR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,06 JUL 2024,1111
13:27.52,DUARTE GOMES,POR,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1111
13:27.54,JACOB KROP,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,15 JUN 2024,1111
13:27.55,PATRICK KIPROP,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1159
13:27.55,TAKUMA SUNAOKA,JPN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1111
13:27.56,SCOTT BEATTIE,GBR,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1111
13:27.57,PARKER WOLFE,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",5000m,19 APR 2024,1111
13:27.71,RYUTO IGAWA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1110
13:27.74,NAGIYA MORI,JPN,"Municipal Stadium, Hiroshima (JPN)",5000m,29 APR 2024,1110
13:27.75,EDWIN KURGAT,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,15 JUN 2024,1110
13:27.79,KY ROBINSON,AUS,"The Track at New Balance, Boston, MA (USA) (i)",5000m,08 MAR 2024,1159
13:27.83,ALEX PHILLIP,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1158
13:27.85,RAPHAEL DAPASH,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1110
13:27.96,DENNIS KIPRUTO,KEN,"Municipal Stadium, Kitami (JPN)",5000m,06 JUL 2024,1109
13:28.09,EMMANUEL KORIR KIPLAGAT,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,15 JUN 2024,1109
13:28.12,SHADRACK RONO,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1109
13:28.15,SERGIO JIMÉNEZ,ESP,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",5000m,11 MAY 2024,1109
13:28.18,HISAYA HANAOKA,JPN,"Municipal Stadium, Hiroshima (JPN)",5000m,29 APR 2024,1108
13:28.23,DAVID MULLARKEY,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1157
13:28.23,SAMUEL KIBATHI,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1108
13:28.25,DYLAN JACOBS,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1157
13:28.29,ITTA TAMEIKE,JPN,"Aoba Park Athletic Field, Chitose (JPN)",5000m,20 JUL 2024,1108
13:28.30,MAXIME CHAUMETON,RSA,"Keskusurheilukenttä, Joensuu (FIN)",5000m,20 JUL 2024,1108
13:28.33,ROBIN HENDRIX,BEL,"Boudewijnstadion, Bruxelles (BEL)",5000m,29 JUN 2024,1108
13:28.37,MUSIO SAIDAMU,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1108
13:28.40,YACINE GUERMALI,USA,"National Stadium, Tokyo (JPN)",5000m,19 MAY 2024,1108
13:28.40,BRIAN KIPTOO,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,06 JUL 2024,1108
13:28.43,DAVID MULLARKEY,GBR,"Cobb Track and Angell Field, Palo Alto, CA (USA)",5000m,26 APR 2024,1108
13:28.44,MARCO LANGON,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1108
13:28.50,CHARLES WHEELER,GBR,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",5000m,11 MAY 2024,1107
13:28.58,SAMUEL SIMBA CHEROP,UGA,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",5000m,22 MAY 2024,1107
13:28.67,TAISHI ITO,JPN,"Municipal Stadium, Hiroshima (JPN)",5000m,29 APR 2024,1107
13:28.67,BAPTISTE GUYON,FRA,"Stadion De Veen, Heusden-Zolder (BEL)",5000m,15 JUN 2024,1107
13:28.71,DANIEL KOSEN,KEN,"Athletics Stadium, Fukagawa (JPN)",5000m,17 JUL 2024,1107
13:28.75,DENNIS MUTUKU,KEN,"Athletic Track, Abashiri (JPN)",5000m,10 JUL 2024,1106
13:28.81,TOBY GILLEN,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,10 FEB 2024,1155
13:28.86,DAWIT SEARE,ERI,"Olympiastadion, Stockholm (SWE)",5000m,15 MAY 2024,1106
13:28.89,JOEY NOKES,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,12 APR 2024,1106
13:28.90,TAI DINGER,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",5000m,26 APR 2024,1106
13:28.94,DAVOR AARON BIENENFELD,GER,"Jack Kemp Stadium, Los Angeles, CA (USA)",5000m,11 MAY 2024,1106
13:29.00,MAXIMILIAN THORWIRTH,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",5000m,26 JAN 2024,1154
13:29.04,SEBASTIAN FREY,AUT,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1105
13:29.04,SEBASTIAN FREY,AUT,"LAZ Wien, Wien (AUT)",5000m,22 JUN 2024,1105
13:29.06,JOEL IBLER LILLESØ,DEN,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1105
13:29.15,ROMAIN LEGENDRE,FRA,"Stadio Olimpico, Roma (ITA)",5000m,08 JUN 2024,1105
13:29.17,DANIEL KOSEN,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1105
13:29.17,EMILE HAFASHIMANA,BDI,"Polisportivo Guido Maccan, Brugnera (ITA)",5000m,13 JUL 2024,1105
13:29.18,DAVID SHUNGEYA NEIYIAI,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1105
13:29.19,HAZUMA HATTORI,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",5000m,01 JUN 2024,1105
13:29.20,HAGOS EYOB,ETH,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1105
13:29.21,SAM MCENTEE,AUS,"Lincoln HS, Portland, OR (USA)",5000m,09 JUN 2024,1105
13:29.23,WILL BARNICOAT,GBR,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1105
13:29.23,AHMED MUHUMED,USA,"Hayward Field, Eugene, OR (USA)",5000m,30 JUN 2024,1105
13:29.26,ABDULLAHI DAHIR RABI,NOR,"Boudewijnstadion, Bruxelles (BEL)",5000m,25 MAY 2024,1105
13:29.29,SHOUYA YONEI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1105
13:29.33,ROGERS KIBET,UGA,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,04 MAY 2024,1104
13:29.35,NGANGA JOSEPH WAWERU,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,13 APR 2024,1104
13:29.36,CHARLES HICKS,GBR,"Hayward Field, Eugene, OR (USA)",5000m,03 MAY 2024,1104
