Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:34.65,PIETRO ARESE,ITA,"Stadion Śląski, Chorzów (POL)",1500m,18 MAY 2024,1179
3:34.66,NOAH BALTUS,NED,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1179
3:34.67,OSSAMA MESLEK,ITA,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1179
3:34.69,CAMERON MYERS,AUS,"Hayward Field, Eugene, OR (USA)",1500m,25 MAY 2024,1179
3:34.69,OSSAMA MESLEK,ITA,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1179
3:34.73,OLIVER HOARE,AUS,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1178
3:34.73,ERMIAS GIRMA,ETH,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1178
3:34.76,ANDREW COSCORAN,IRL,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1178
3:34.77,ERMIAS GIRMA,ETH,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1178
3:34.79,NATHAN GREEN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1177
3:34.80,VINCENT KIBET KETER,KEN,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",1500m,03 FEB 2024,1230
3:34.80,ENDASHAW RETA,ETH,"Polideportivo Zorrotza, Bilbao (ESP)",1500m,18 JUN 2024,1177
3:34.81,IGNACIO FONTES,ESP,"Stadion Śląski, Chorzów (POL)",1500m,18 MAY 2024,1177
3:34.83,BINIAM MEHARY,ETH,"Arena, Toruń (POL) (i)",1500m,06 FEB 2024,1230
3:34.83,REYNOLD CHERUIYOT,KEN,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1177
3:34.83,TEDDESE LEMI,ETH,"Le Grand Stade, Marrakech (MAR)",1500m,19 MAY 2024,1177
3:34.83,LOUIS GILAVERT,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1177
3:34.86,NARVE GILJE NORDÅS,NOR,"Bislett Stadion, Oslo (NOR)",1500m,30 MAY 2024,1177
3:34.88,ERMIAS GIRMA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,14 JUN 2024,1176
3:34.90,GRANT FISHER,USA,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1176
3:34.91,SAMUEL PRAKEL,USA,"Stadion Allmend, Luzern (SUI)",1500m,16 JUL 2024,1176
3:34.92,ROMAIN MORNET,FRA,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1176
3:34.94,ERMIAS GIRMA,ETH,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1175
3:34.94,BAPTISTE MISCHLER,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1175
3:34.95,CHARLES PHILIBERT-THIBOUTOT,CAN,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1175
3:35.01,NOAH BALTUS,NED,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1174
3:35.02,ROMAIN MORNET,FRA,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1174
3:35.04,NICHOLAS GRIGGS,IRL,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1174
3:35.06,TSHEPO TSHITE,RSA,"Arena, Toruń (POL) (i)",1500m,06 FEB 2024,1227
3:35.07,NOAH BALTUS,NED,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1174
3:35.08,CRAIG ENGELS,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1173
3:35.09,MACIEJ WYDERKA,POL,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1173
3:35.11,RYAN MPHAHLELE,RSA,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1173
3:35.12,ADEL MECHAAL,ESP,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1173
3:35.12,PIERRIK JOCTEUR-MONROZIER,FRA,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1173
3:35.14,CALLUM DAVIES,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",1500m,22 FEB 2024,1173
3:35.14,HAFID RIZQY,MAR,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1173
3:35.15,SAMUEL PIHLSTRÖM,SWE,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1173
3:35.16,MATTHEW CENTROWITZ,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1172
3:35.17,COOPER TEARE,USA,"Hayward Field, Eugene, OR (USA)",1500m,24 JUN 2024,1172
3:35.19,PIETRO ARESE,ITA,"Stade Louis II, Monaco (MON)",1500m,12 JUL 2024,1172
3:35.20,JOONAS RINNE,FIN,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1172
3:35.21,JOCHEM VERMEULEN,BEL,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1172
3:35.21,TSHEPO TSHITE,RSA,"Le Grand Stade, Marrakech (MAR)",1500m,19 MAY 2024,1172
3:35.22,ANDREAS ALMGREN,SWE,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1172
3:35.24,HENRY WYNNE,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1171
3:35.24,TEDDESE LEMI,ETH,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1171
3:35.24,BAPTISTE MISCHLER,FRA,"Stade de Stehelin, Bordeaux (FRA)",1500m,19 JUN 2024,1171
3:35.24,LUKE HOUSER,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1171
3:35.25,BASTIEN AUGUSTO,FRA,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1171
3:35.25,JAVIER MIRON,ESP,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1171
3:35.26,SAMUEL PIHLSTRÖM,SWE,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1171
3:35.27,EDUARDO HERRERA,MEX,"Polideportivo Zorrotza, Bilbao (ESP)",1500m,18 JUN 2024,1171
3:35.28,MARIUS PROBST,GER,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1171
3:35.29,EDUARDO HERRERA,MEX,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1171
3:35.31,MARIO GARCÍA,ESP,"Stadion Allmend, Luzern (SUI)",1500m,16 JUL 2024,1170
3:35.35,MEHMET ÇELİK,TUR,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1170
3:35.35,KIERAN LUMB,CAN,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1170
3:35.35,DAVIS BOVE,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,20 JUL 2024,1170
3:35.37,JACK ANSTEY,AUS,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1169
3:35.37,SAMUEL PRAKEL,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1169
3:35.38,JESSE HUNT,AUS,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1169
3:35.39,MATTHEW CENTROWITZ,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1169
3:35.40,NICHOLAS GRIGGS,IRL,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1169
3:35.40,SAM GILMAN,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",1500m,12 JUL 2024,1169
3:35.42,ENDASHAW RETA,ETH,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1169
3:35.43,TEDDESE LEMI,ETH,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1169
3:35.44,STEWART MCSWEYN,AUS,"Stadion De Veen, Heusden-Zolder (BEL)",1500m,15 JUN 2024,1168
3:35.46,CRAIG ENGELS,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1168
3:35.46,ROMAIN MORNET,FRA,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1168
3:35.46,MOHAD ABDIKADAR SHEIK ALI,ITA,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1168
3:35.46,PAUL ANSELMINI,FRA,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,27 JUL 2024,1168
3:35.47,SAMUEL PIHLSTRÖM,SWE,"Atletická hala, Ostrava (CZE) (i)",1500m,30 JAN 2024,1221
3:35.48,COOPER TEARE,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1168
