,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1683,2:27:32,Shewarge ALENE,ETH,Praha (CZE),05 MAY 2024,1157,Full
1684,2:27:33,Shamilah Tekaa KIPSIROR,KEN,Roma (ITA),17 MAR 2024,1157,Full
1685,2:27:33,Failuna MATANGA,TAN,Hannover (GER),14 APR 2024,1157,Full
1686,2:27:34,Medhin GEBRESLASSIE,ETH,Mumbai (IND),21 JAN 2024,1157,Full
1687,2:27:34,Melina WOLF,GER,Berlin (GER),29 SEP 2024,1157,Full
1688,2:27:41,Joan CHEPKOSGEI,KEN,Casablanca (MAR),27 OCT 2024,1156,Full
1689,2:27:46,Kebebush YISMA,ETH,Chongqing (CHN),24 MAR 2024,1155,Full
1690,2:27:47,Kasanesh BAZE,ETH,Frankfurt (GER),27 OCT 2024,1155,Full
1691,2:27:49,Nigist MULUNEH,ETH,Riyadh (KSA),10 FEB 2024,1154,Full
1692,2:27:52,Annie FRISBIE,USA,"Chicago, IL (USA)",13 OCT 2024,1154,Full
1693,2:27:54,Natasha WODAK,CAN,Toronto (CAN),20 OCT 2024,1153,Full
1694,2:27:56,Emily DURGIN,USA,"Orlando, FL (USA)",03 FEB 2024,1153,Full
1695,2:27:56,Tseginesh MEKONNIN,ETH,Praha (CZE),05 MAY 2024,1153,Full
1696,2:27:57,Isabel OROPEZA,MEX,Sevilla (ESP),18 FEB 2024,1153,Full
1697,2:27:58,Ayinadis TESHOME,ETH,Mumbai (IND),21 JAN 2024,1153,Full
1698,2:27:59,Sharon CHELIMO,KEN,Buri Ram (THA),27 JAN 2024,1153,Full
1699,2:28:00,Faith CHEPKOECH,KEN,Cape Town (RSA),20 OCT 2024,1152,Full
1700,2:28:01,Rosa Alva CHACHA,ECU,Sevilla (ESP),18 FEB 2024,1152,Full
1701,2:28:01,Buzunesh GETACHEW,ETH,Dongying (CHN),20 OCT 2024,1152,Full
1702,2:28:04,Desiree LINDEN,USA,"Orlando, FL (USA)",03 FEB 2024,1152,Full
1703,2:28:10,Fabienne SCHLUMPF,SUI,"Stade de France, Paris (FRA)",11 AUG 2024,1151,Full
1704,2:28:11,Fancy CHEMUTAI,KEN,Osaka (JPN),25 FEB 2024,1151,Full
1705,2:28:12,Delele CHEKLIE,ETH,Sevilla (ESP),18 FEB 2024,1150,Full
1706,2:28:12,Mercy KWAMBAI,KEN,Copenhagen (DEN),05 MAY 2024,1150,Full
1707,2:28:13,Genevieve GREGSON,AUS,"Cricket Ground, Melbourne (AUS)",13 OCT 2024,1150,Full
1708,2:28:14,Leslie SEXTON,CAN,"Houston, TX (USA)",14 JAN 2024,1150,Full
1709,2:28:16,Dominique SCOTT,RSA,"Chicago, IL (USA)",13 OCT 2024,1150,Full
1710,2:28:17,Li BAI,CHN,Wuxi (CHN),24 MAR 2024,1150,Full
1711,2:28:19,Aydee LOAYZA,PER,Lima (PER),19 MAY 2024,1149,Full
1712,2:28:23,Camille FRENCH,NZL,Nagoya (JPN),10 MAR 2024,1149,Full
1713,2:28:23,Hasna ZAHI,MAR,Rabat (MAR),21 APR 2024,1149,Full
1714,2:28:24,Giovanna EPIS,ITA,Nagoya (JPN),10 MAR 2024,1148,Full
1715,2:28:24,Cynthia KOSGEI,KEN,Rabat (MAR),21 APR 2024,1148,Full
1716,2:28:28,Nurit SHIMELS,ETH,Dubai (UAE),07 JAN 2024,1148,Full
1717,2:28:28,Rie KAWAUCHI,JPN,Osaka (JPN),28 JAN 2024,1148,Full
1718,2:28:29,Fatiha BENCHATKI,MAR,Marrakech (MAR),28 JAN 2024,1148,Full
1719,2:28:29,Gete DUKALE,ETH,Dublin (IRL),27 OCT 2024,1148,Full
1720,2:28:30,Kellen WAITHIRA,KEN,Rabat (MAR),21 APR 2024,1147,Full
1721,2:28:34,Caroline Cheptanui KILEL,KEN,Wuhan (CHN),24 MAR 2024,1147,Full
1722,2:28:34,Vanessa WILSON,AUS,Berlin (GER),29 SEP 2024,1147,Full
1723,2:28:35,Majida MAAYOUF,ESP,"Stade de France, Paris (FRA)",11 AUG 2024,1147,Full
1724,2:28:37,Neheng KHATALA,LES,Hamburg (GER),28 APR 2024,1146,Full
1725,2:28:41,Amy DAVIS-GREEN,USA,"Chicago, IL (USA)",13 OCT 2024,1146,Full
1726,2:28:45,Zenebu FIKADU,ETH,Riyadh (KSA),10 FEB 2024,1145,Full
1727,2:28:47,Anne LUIJTEN,NED,Rotterdam (NED),14 APR 2024,1145,Full
1728,2:28:48,Anais QUEMENER,FRA,Sevilla (ESP),18 FEB 2024,1144,Full
1729,2:28:49,Zhixuan LI,CHN,Nagoya (JPN),10 MAR 2024,1144,Full
1730,2:28:52,Molly BOOKMYER,USA,"St. Paul, Minneapolis, MN (USA)",06 OCT 2024,1144,Full
1731,2:28:53,Tigist ABAYECHEW,ETH,Tokyo (JPN),03 MAR 2024,1144,Full
