,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
1233,1:06:09,Catherine Reline AMANANG'OLE,KEN,Copenhagen (DEN),15 SEP 2024,1210,Half,NA,NA,NA,NA
1234,1:06:13,Jesca CHELANGAT,KEN,Valencia (ESP),27 OCT 2024,1209,Half,NA,NA,NA,NA
1235,1:06:21,Ftaw ZERAY,ETH,Copenhagen (DEN),15 SEP 2024,1206,Half,NA,NA,NA,NA
1236,1:06:24,Buze DIRIBA,ETH,"Houston, TX (USA)",14 JAN 2024,1205,Half,NA,NA,NA,NA
1237,1:06:25,Weini KELATI FREZGHI,USA,"Houston, TX (USA)",14 JAN 2024,1204,Half,NA,NA,NA,NA
1238,1:06:34,Gladys CHEPKURUI,KEN,Barcelona (ESP),11 FEB 2024,1201,Half,NA,NA,NA,NA
1239,1:06:36,Evaline CHIRCHIR,KEN,Ras Al Khaimah (UAE),24 FEB 2024,1201,Half,NA,NA,NA,NA
1240,1:06:43,Viola CHEPNGENO,KEN,Copenhagen (DEN),15 SEP 2024,1198,Half,113122040,642,6,Public
1241,1:06:43,Miriam CHEBET,KEN,Cardiff (GBR),06 OCT 2024,1198,Half,73218211,0,0,Public
1242,1:06:47,Sheila CHEPKIRUI,KEN,Marugame (JPN),04 FEB 2024,1197,Half,70760138,140,0,Public
1243,1:06:53,Tekle MULUAT,ETH,Berlin (GER),07 APR 2024,1195,Half,NA,NA,NA,NA
1244,1:06:55,Karoline Bjerkeli GRØVDAL,NOR,Copenhagen (DEN),15 SEP 2024,1194,Half,NA,NA,NA,NA
1245,1:06:58,Joan Chelimo MELLY,ROU,Paris (FRA),03 MAR 2024,1193,Half,NA,NA,NA,NA
1246,1:07:04,Angela TANUI,KEN,Napoli (ITA),25 FEB 2024,1191,Half,NA,NA,NA,NA
1247,1:07:04,Alemaddis EYAYU,ETH,Buenos Aires (ARG),25 AUG 2024,1191,Half,NA,NA,NA,NA
1248,1:07:07,Jessica WARNER-JUDD,GBR,Barcelona (ESP),11 FEB 2024,1190,Half,NA,NA,NA,NA
1249,1:07:07,Konstanze KLOSTERHALFEN,GER,Valencia (ESP),27 OCT 2024,1190,Half,NA,NA,NA,NA
1250,1:07:08,Veronica LOLEO,KEN,Copenhagen (DEN),15 SEP 2024,1189,Half,NA,NA,NA,NA
1251,1:07:12,Susan CHEMBAI,KEN,Den Haag (NED),10 MAR 2024,1188,Half,NA,NA,NA,NA
1252,1:07:16,Grace Loibach NAWOWUNA,KEN,Cardiff (GBR),06 OCT 2024,1187,Half,NA,NA,NA,NA
1253,1:07:17,Caroline NYAGA,KEN,Cardiff (GBR),06 OCT 2024,1186,Half,109816309,0,0,Public
1254,1:07:19,Peres JEPCHIRCHIR,KEN,Ras Al Khaimah (UAE),24 FEB 2024,1185,Half,NA,NA,NA,NA
1255,1:07:19,Maurine JEMUTAI,KEN,Yangzhou (CHN),31 MAR 2024,1185,Half,NA,NA,NA,NA
1256,1:07:25,Gete ALEMAYEHU,ETH,Ras Al Khaimah (UAE),24 FEB 2024,1183,Half,NA,NA,NA,NA
1257,1:07:26,Melat Yisak KEJETA,GER,Berlin (GER),07 APR 2024,1183,Half,NA,NA,NA,NA
1258,1:07:34,Annie FRISBIE,USA,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1180,Half,51057645,95,0,Public
1259,1:07:35,Joyce Chepkemoi TELE,KEN,Buenos Aires (ARG),25 AUG 2024,1180,Half,NA,NA,NA,NA
1260,1:07:36,Mestawut FIKIR,ETH,"Houston, TX (USA)",14 JAN 2024,1180,Half,NA,NA,NA,NA
1261,1:07:36,Caroline KARIBA,KEN,Marugame (JPN),04 FEB 2024,1180,Half,NA,NA,NA,NA
