,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1806,1:02:02,Abera MAMO,ETH,Rio de Janeiro (BRA),01 JUN 2024,1106,Half
1807,1:02:02,Dennis KIPKURUI,KEN,Tokyo (JPN),20 OCT 2024,1106,Half
1808,1:02:03,Akira TOMIYASU,JPN,Osaka (JPN),28 JAN 2024,1105,Half
1809,1:02:03,Bouazza KASSOUI,MAR,Marrakech (MAR),28 JAN 2024,1105,Half
1810,1:02:03,Yoshiki KUSHIDA,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1105,Half
1811,1:02:03,Fuminori SHIMO,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1105,Half
1812,1:02:03,Sikiyas MISGANAW,ETH,Lisboa (POR),17 MAR 2024,1105,Half
1813,1:02:03,Cristhian ZAMORA,URU,Valencia (ESP),27 OCT 2024,1105,Half
1814,1:02:03,Pablo SÁNCHEZ,ESP,Valencia (ESP),27 OCT 2024,1105,Half
1815,1:02:04,Hiroto HAYASHIDA,JPN,Marugame (JPN),04 FEB 2024,1105,Half
1816,1:02:04,Genki NAKANISHI,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1105,Half
1817,1:02:04,Francis KAMETHO,KEN,Lille (FRA),17 MAR 2024,1105,Half
1818,1:02:04,Nehemia KIMARU,KEN,"Sale, Rabat (MAR)",21 APR 2024,1105,Half
1819,1:02:04,Tsegay Tuemay WELDLIBANOS,ERI,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1105,Half
1820,1:02:05,Yuki TSUTSUMI,JPN,Osaka (JPN),28 JAN 2024,1104,Half
1821,1:02:06,Koya SUZUKI,JPN,Marugame (JPN),04 FEB 2024,1103,Half
1822,1:02:06,Yudai KATAKAWA,JPN,Marugame (JPN),04 FEB 2024,1103,Half
1823,1:02:06,Marc SCOTT,GBR,Barcelona (ESP),11 FEB 2024,1103,Half
1824,1:02:06,Rui AOKI,JPN,"Showa Park, Tachikawa (JPN)",10 MAR 2024,1103,Half
1825,1:02:06,Benjamin CHOQUERT,FRA,Lille (FRA),17 MAR 2024,1103,Half
1826,1:02:06,Mateusz KACZOR,POL,Warszawa (POL),24 MAR 2024,1103,Half
1827,1:02:07,Kiyoki YOKOSAWA,JPN,Osaka (JPN),28 JAN 2024,1103,Half
1828,1:02:07,Hiroto KUNIYASU,JPN,Marugame (JPN),04 FEB 2024,1103,Half
1829,1:02:07,Ryuto URUSHIBATA,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1103,Half
1830,1:02:07,Masatoshi SAKATA,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1103,Half
1831,1:02:07,Timothy KIPCHUMBA,KEN,Lisboa (POR),17 MAR 2024,1103,Half
1832,1:02:07,Kelvin KIBIWOTT,KEN,Venlo (NED),24 MAR 2024,1103,Half
1833,1:02:07,Aziz AITOURKIA,MAR,"Sale, Rabat (MAR)",21 APR 2024,1103,Half
1834,1:02:07,Justus KANGOGO,KEN,Rio de Janeiro (BRA),01 JUN 2024,1103,Half
1835,1:02:07,Edward GODDARD,AUS,Valencia (ESP),27 OCT 2024,1103,Half
1836,1:02:07,Zakariya MAHAMED,GBR,Valencia (ESP),27 OCT 2024,1103,Half
1837,1:02:08,Hiro KONDA,JPN,Marugame (JPN),04 FEB 2024,1102,Half
1838,1:02:08,Ryota KONDO,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1102,Half
1839,1:02:08,Ryo SAITO,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1102,Half
1840,1:02:08,Ezekiel KIPKORIR,KEN,Zagreb (CRO),24 MAR 2024,1102,Half
1841,1:02:08,Vincent NYAGEO,KEN,Berlin (GER),07 APR 2024,1102,Half
1842,1:02:09,Mizuki HIGASHI,JPN,Osaka (JPN),28 JAN 2024,1101,Half
1843,1:02:09,Kyohei ODA,JPN,Marugame (JPN),04 FEB 2024,1101,Half
1844,1:02:09,Shuhei YAMAMOTO,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1101,Half
1845,1:02:09,Koki MARUYAMA,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1101,Half
1846,1:02:09,Stan NIESTEN,NED,"Atletiekstadium Gentbrugge, Gentbrugge (BEL)",10 MAR 2024,1101,Half
1847,1:02:09,Suldan HASSAN,SWE,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1101,Half
1848,1:02:10,Ren YAMAGUCHI,JPN,Marugame (JPN),04 FEB 2024,1101,Half
1849,1:02:10,Othmane EL GOUMRI,MAR,Meishan (CHN),25 FEB 2024,1101,Half
1850,1:02:10,Polat Kemboi ARIKAN,TUR,Warszawa (POL),24 MAR 2024,1101,Half
1851,1:02:10,Alfred CHERUIYOT,KEN,Poznan (POL),14 APR 2024,1101,Half
1852,2:02:16,Benson KIPRUTO,KEN,Tokyo (JPN),03 MAR 2024,1292,Full
1853,2:02:44,John KORIR,KEN,"Chicago, IL (USA)",13 OCT 2024,1284,Full
1854,2:02:55,Timothy KIPLAGAT,KEN,Tokyo (JPN),03 MAR 2024,1281,Full
1855,2:03:17,Milkesa MENGESHA,ETH,Berlin (GER),29 SEP 2024,1274,Full
1856,2:03:22,CyBrian KOTUT,KEN,Berlin (GER),29 SEP 2024,1273,Full
1857,2:03:27,Deresa GELETA,ETH,Sevilla (ESP),18 FEB 2024,1271,Full
1858,2:03:31,Haymanot ALEW,ETH,Berlin (GER),29 SEP 2024,1270,Full
1859,2:03:37,Stephen KIPROP,KEN,Berlin (GER),29 SEP 2024,1268,Full
1860,2:03:47,Morhad AMDOUNI,FRA,Sevilla (ESP),18 FEB 2024,1266,Full
1861,2:04:01,Alexander MUNYAO,KEN,London (GBR),21 APR 2024,1262,Full
1862,2:04:15,Kenenisa BEKELE,ETH,London (GBR),21 APR 2024,1258,Full
1863,2:04:18,Vincent Kipkemoi NGETICH,KEN,Tokyo (JPN),03 MAR 2024,1257,Full
1864,2:04:24,Bernard Kiprop KOECH,KEN,Hamburg (GER),28 APR 2024,1255,Full
1865,2:04:35,Hailemaryam KIROS,ETH,Berlin (GER),29 SEP 2024,1252,Full
1866,2:04:39,Mohamed ESA,ETH,"Chicago, IL (USA)",13 OCT 2024,1251,Full
1867,2:04:45,Abdi NAGEEYE,NED,Rotterdam (NED),14 APR 2024,1249,Full
1868,2:04:50,Amedework WALELEGN,ETH,Rotterdam (NED),14 APR 2024,1247,Full
1869,2:04:50,Amos KIPRUTO,KEN,"Chicago, IL (USA)",13 OCT 2024,1247,Full
1870,2:04:53,Gashau AYALE,ISR,Sevilla (ESP),18 FEB 2024,1247,Full
1871,2:05:01,Addisu GOBENA,ETH,Dubai (UAE),07 JAN 2024,1244,Full
1872,2:05:01,Tadesse ABRAHAM,SUI,Barcelona (ESP),10 MAR 2024,1244,Full
1873,2:05:12,Yohei IKEDA,JPN,Berlin (GER),29 SEP 2024,1241,Full
1874,2:05:13,Tadese TAKELE,ETH,Berlin (GER),29 SEP 2024,1241,Full
1875,2:05:16,Birhanu LEGESE,ETH,Rotterdam (NED),14 APR 2024,1240,Full
1876,2:05:20,Lemi DUMECHA,ETH,Dubai (UAE),07 JAN 2024,1239,Full
1877,2:05:33,Mulugeta Asefa UMA,ETH,Paris (FRA),07 APR 2024,1235,Full
1878,2:05:37,Philemon KIPLIMO,KEN,Hamburg (GER),28 APR 2024,1234,Full
1879,2:05:37,Oqbe Kibrom RUESOM,ERI,Berlin (GER),29 SEP 2024,1234,Full
1880,2:05:38,Tsegaye GETACHEW,ETH,Amsterdam (NED),20 OCT 2024,1234,Full
1881,2:05:40,Asefa BOKI,ETH,Amsterdam (NED),20 OCT 2024,1233,Full
1882,2:05:41,Ronald KORIR,KEN,Hamburg (GER),28 APR 2024,1233,Full
1883,2:05:42,Dejene MEGERSA,ETH,Dubai (UAE),07 JAN 2024,1233,Full
1884,2:05:42,Maru TEFERI,ISR,Amsterdam (NED),20 OCT 2024,1233,Full
1885,2:05:43,Kenneth Kiprop KIPKEMOI,KEN,Rotterdam (NED),14 APR 2024,1232,Full
1886,2:05:48,Titus KIPRUTO,KEN,Paris (FRA),07 APR 2024,1231,Full
1887,2:05:52,Cornelius KIBET,KEN,Dongying (CHN),20 OCT 2024,1230,Full
1888,2:05:53,Enock ONCHARI,KEN,Berlin (GER),29 SEP 2024,1229,Full
1889,2:05:54,Derseh KINDIE,ETH,Berlin (GER),29 SEP 2024,1229,Full
1890,2:05:54,Benard BIWOTT,KEN,Frankfurt (GER),27 OCT 2024,1229,Full
1891,2:06:04,Daniel Simiu EBENYO,KEN,"Chicago, IL (USA)",13 OCT 2024,1226,Full
1892,2:06:05,Amanal PETROS,GER,Hannover (GER),14 APR 2024,1226,Full
1893,2:06:06,Yemaneberhan CRIPPA,ITA,Sevilla (ESP),18 FEB 2024,1226,Full
1894,2:06:08,Jemal MEKONEN,ETH,Seoul (KOR),17 MAR 2024,1225,Full
1895,2:06:09,Rhonzas Lokitam KILIMO,KEN,Seoul (KOR),17 MAR 2024,1225,Full
1896,2:06:10,Edwin KIPTOO,KEN,Seoul (KOR),17 MAR 2024,1225,Full
1897,2:06:11,Tafese DELELEGN,ETH,Sevilla (ESP),18 FEB 2024,1224,Full
1898,2:06:18,Kiyoto HIRABAYASHI,JPN,Osaka (JPN),25 FEB 2024,1222,Full
1899,2:06:18,Tadu ABATE,ETH,Wuxi (CHN),24 MAR 2024,1222,Full
1900,2:06:20,Mike Kiptum BOIT,KEN,Seoul (KOR),17 MAR 2024,1222,Full
1901,2:06:22,Stephen KISSA,UGA,Osaka (JPN),25 FEB 2024,1221,Full
1902,2:06:22,Balew YIHUNLE,ETH,Seoul (KOR),17 MAR 2024,1221,Full
1903,2:06:22,Gebru REDAHGNE,ETH,Dongying (CHN),20 OCT 2024,1221,Full
1904,2:06:23,Abdi FUFA,ETH,Dubai (UAE),07 JAN 2024,1221,Full
1905,2:06:24,Asbel RUTTO,KEN,Roma (ITA),17 MAR 2024,1221,Full
1906,2:06:26,Bethwel KIBET,KEN,Tokyo (JPN),03 MAR 2024,1220,Full
1907,2:06:26,Tamirat TOLA,ETH,"Stade de France, Paris (FRA)",10 AUG 2024,1220,Full
1908,2:06:27,Samuel FITWI SIBHATU,GER,Dubai (UAE),07 JAN 2024,1220,Full
1909,2:06:27,Haimro ALAME,ISR,Tokyo (JPN),03 MAR 2024,1220,Full
1910,2:06:28,Enock KINYAMAL,KEN,Eindhoven (NED),13 OCT 2024,1220,Full
1911,2:06:29,Simon KARIUKI,KEN,Tokyo (JPN),03 MAR 2024,1219,Full
1912,2:06:29,Lameck TOO,KEN,Rotterdam (NED),14 APR 2024,1219,Full
1913,2:06:29,Getaneh MOLLA,ETH,Ljubljana (SLO),20 OCT 2024,1219,Full
1914,2:06:30,Melaku BELACHEW,ETH,Berlin (GER),29 SEP 2024,1219,Full
1915,2:06:31,Yusuke NISHIYAMA,JPN,Tokyo (JPN),03 MAR 2024,1219,Full
1916,2:06:33,Naoki KOYAMA,JPN,Osaka (JPN),25 FEB 2024,1218,Full
1917,2:06:35,Chala REGASA,ETH,Wien (AUT),21 APR 2024,1218,Full
1918,2:06:37,Yuya YOSHIDA,JPN,Osaka (JPN),25 FEB 2024,1217,Full
1919,2:06:39,Zouhair TALBI,MAR,"Houston, TX (USA)",14 JAN 2024,1216,Full
1920,2:06:39,Luke KIPROP,KEN,Berlin (GER),29 SEP 2024,1216,Full
1921,2:06:40,Tsedat Abeje AYANA,ETH,Hamburg (GER),28 APR 2024,1216,Full
1922,2:06:44,Collins Kipkirui KIPKORIR,KEN,Barcelona (ESP),10 MAR 2024,1215,Full
1923,2:06:45,Justus KANGOGO,KEN,Amsterdam (NED),20 OCT 2024,1215,Full
1924,2:06:46,Emile CAIRESS,GBR,London (GBR),21 APR 2024,1214,Full
1925,2:06:46,Kibiwott KANDIE,KEN,Berlin (GER),29 SEP 2024,1214,Full
1926,2:06:47,Bashir ABDI,BEL,"Stade de France, Paris (FRA)",10 AUG 2024,1214,Full
1927,2:06:49,Ghirmay GHEBRESLASSIE,ERI,Sevilla (ESP),18 FEB 2024,1214,Full
1928,2:06:50,Eliud KIPCHOGE,KEN,Tokyo (JPN),03 MAR 2024,1213,Full
1929,2:06:50,Abay ALEMU,ETH,Wuxi (CHN),24 MAR 2024,1213,Full
1930,2:06:51,Bazezew ASMARE,ETH,Berlin (GER),29 SEP 2024,1213,Full
1931,2:06:52,Felix KIRWA,KEN,Xiamen (CHN),07 JAN 2024,1213,Full
1932,2:06:54,Daisuke DOI,JPN,Osaka (JPN),25 FEB 2024,1212,Full
1933,2:06:54,Kenya SONOTA,JPN,Tokyo (JPN),03 MAR 2024,1212,Full
1934,2:06:54,Elisha ROTICH,KEN,Paris (FRA),07 APR 2024,1212,Full
1935,2:06:55,Antenayeh DAGNACHEW,ETH,Dubai (UAE),07 JAN 2024,1212,Full
1936,2:06:55,Kyohei HOSOYA,JPN,Tokyo (JPN),03 MAR 2024,1212,Full
1937,2:06:56,Solomon Kirwa YEGO,KEN,Seoul (KOR),17 MAR 2024,1212,Full
1938,2:06:57,Nicholas KIRWA,KEN,Wuxi (CHN),24 MAR 2024,1211,Full
1939,2:06:57,Jie HE,CHN,Wuxi (CHN),24 MAR 2024,1211,Full
1940,2:07:03,Edmond KIPNGETICH,KEN,Ljubljana (SLO),20 OCT 2024,1210,Full
1941,2:07:05,Mahamed MAHAMED,GBR,London (GBR),21 APR 2024,1209,Full
1942,2:07:05,Stanley Kurgat RONO,KEN,Berlin (GER),29 SEP 2024,1209,Full
1943,2:07:06,Boaz KIPKEMEI,KEN,Hannover (GER),14 APR 2024,1209,Full
1944,2:07:06,Brimin KIPKORIR,KEN,Hamburg (GER),28 APR 2024,1209,Full
1945,2:07:08,Bethwell KIPKEMBOI,KEN,Paris (FRA),07 APR 2024,1208,Full
1946,2:07:09,Eyob GHEBREHIWET FANIEL,ITA,Sevilla (ESP),18 FEB 2024,1208,Full
1947,2:07:12,Titus Kimutai KIPKOSGEI,KEN,Milano (ITA),07 APR 2024,1207,Full
1948,2:07:13,Kennedy KIMUTAI,KEN,Amsterdam (NED),20 OCT 2024,1207,Full
1949,2:07:14,Hendrik PFEIFFER,GER,"Houston, TX (USA)",14 JAN 2024,1207,Full
1950,2:07:18,Othmane EL GOUMRI,MAR,Xiamen (CHN),07 JAN 2024,1205,Full
1951,2:07:23,Dominic NGENO,KEN,Toronto (CAN),20 OCT 2024,1204,Full
1952,2:07:25,Kibrom WELDEMICAEL,ERI,Castellón (ESP),25 FEB 2024,1203,Full
1953,2:07:25,Shungo YOKOTA,JPN,Tokyo (JPN),03 MAR 2024,1203,Full
1954,2:07:26,Shaohui YANG,CHN,Wuxi (CHN),24 MAR 2024,1203,Full
1955,2:07:30,Hassan CHAHDI,FRA,London (GBR),21 APR 2024,1202,Full
1956,2:07:31,Noah KIPKEMBOI,KEN,Toronto (CAN),20 OCT 2024,1202,Full
1957,2:07:31,Berhane TESFAY,ERI,Ljubljana (SLO),20 OCT 2024,1202,Full
1958,2:07:32,Akira AKASAKI,JPN,"Stade de France, Paris (FRA)",10 AUG 2024,1201,Full
1959,2:07:33,Sebastian HENDEL,GER,Berlin (GER),29 SEP 2024,1201,Full
1960,2:07:34,Shin KIMURA,JPN,Tokyo (JPN),03 MAR 2024,1201,Full
1961,2:07:35,Challa GOSSA,ETH,Frankfurt (GER),27 OCT 2024,1201,Full
1962,2:07:36,Suldan HASSAN,SWE,Sevilla (ESP),18 FEB 2024,1200,Full
1963,2:07:36,Raymond Kipchumba CHOGE,KEN,Milano (ITA),07 APR 2024,1200,Full
1964,2:07:37,Cosmas Matolo MUTETI,KEN,Paris (FRA),07 APR 2024,1200,Full
1965,2:07:38,Philimon Kiptoo KIPCHUMBA,KEN,Berlin (GER),29 SEP 2024,1200,Full
1966,2:07:38,Yusuke TAMURA,JPN,Berlin (GER),29 SEP 2024,1200,Full
1967,2:07:39,Chalu DESO,ETH,Paris (FRA),07 APR 2024,1200,Full
1968,2:07:39,Felix KIPKOECH,KEN,Amsterdam (NED),20 OCT 2024,1200,Full
1969,2:07:44,Victor KIPLANGAT,UGA,Tokyo (JPN),03 MAR 2024,1198,Full
1970,2:07:44,Matthias KYBURZ,SUI,Paris (FRA),07 APR 2024,1198,Full
1971,2:07:45,Patrick TIERNAN,AUS,"Houston, TX (USA)",14 JAN 2024,1198,Full
1972,2:07:45,Godadaw BELACHEW,ISR,Rotterdam (NED),14 APR 2024,1198,Full
1973,2:07:45,Hicham AMGHAR,MAR,Dongying (CHN),20 OCT 2024,1198,Full
1974,2:07:48,Ibrahim CHAKIR,ESP,Sevilla (ESP),18 FEB 2024,1197,Full
1975,2:07:49,Daniele MEUCCI,ITA,Sevilla (ESP),18 FEB 2024,1197,Full
1976,2:07:50,Lemi BERHANU,ETH,Mumbai (IND),21 JAN 2024,1196,Full
1977,2:07:50,Denis CHIRCHIR,KEN,Košice (SVK),06 OCT 2024,1196,Full
1978,2:07:50,Erick Kiplagat SANG,KEN,Amsterdam (NED),20 OCT 2024,1196,Full
1979,2:07:51,Jacob Sommer SIMONSEN,DEN,Berlin (GER),29 SEP 2024,1196,Full
1980,2:07:52,Tatsuya MARUYAMA,JPN,Osaka (JPN),25 FEB 2024,1196,Full
1981,2:07:52,Ashenafi MOGES,ETH,Seoul (KOR),17 MAR 2024,1196,Full
1982,2:07:52,Andrew Rotich KWEMOI,UGA,Milano (ITA),07 APR 2024,1196,Full
1983,2:07:53,Sammy KITWARA,KEN,Marrakech (MAR),28 JAN 2024,1196,Full
1984,2:07:53,Josphat BOIT,KEN,Chongqing (CHN),24 MAR 2024,1196,Full
1985,2:07:55,Alphonce Felix SIMBU,TAN,Daegu (KOR),07 APR 2024,1195,Full
1986,2:07:56,Brian KIPSANG,KEN,Roma (ITA),17 MAR 2024,1195,Full
1987,2:07:56,Simon KIPKOSGEI,KEN,Berlin (GER),29 SEP 2024,1195,Full
1988,2:07:57,Samuel RUSSOM,ERI,Sevilla (ESP),18 FEB 2024,1194,Full
1989,2:07:58,Derese WORKNEH,ETH,Oita (JPN),04 FEB 2024,1194,Full
1990,2:07:58,Tebello RAMAKONGOANA,LES,"Stade de France, Paris (FRA)",10 AUG 2024,1194,Full
1991,2:07:58,Mesfin NEGUS,ETH,Košice (SVK),06 OCT 2024,1194,Full
1992,2:07:59,Bedan KAROKI,KEN,Tokyo (JPN),03 MAR 2024,1194,Full
1993,2:08:00,Kemal HUSEN,ETH,Osaka (JPN),25 FEB 2024,1194,Full
1994,2:08:00,Laban Kipngetich KORIR,KEN,Seoul (KOR),17 MAR 2024,1194,Full
1995,2:08:00,Kipkemoi KIPRONO,KEN,Ljubljana (SLO),20 OCT 2024,1194,Full
1996,2:08:00,Abdi Ali GELELCHU,BRN,Dongying (CHN),20 OCT 2024,1194,Full
1997,2:08:01,Rory LINKLETTER,CAN,Sevilla (ESP),18 FEB 2024,1193,Full
1998,2:08:01,Petro MAMU,ERI,Sevilla (ESP),18 FEB 2024,1193,Full
1999,2:08:01,Timothy KIPKORIR,KEN,Seoul (KOR),17 MAR 2024,1193,Full
2000,2:08:02,Hailu ZEWDU,ETH,Toronto (CAN),20 OCT 2024,1193,Full
2001,2:08:02,Tesfaye Lencho ANBESA,ETH,Frankfurt (GER),27 OCT 2024,1193,Full
2002,2:08:03,Mohamed EL TALHAOUI,MAR,Sevilla (ESP),18 FEB 2024,1193,Full
2003,2:08:03,Mizuki HIGASHI,JPN,Osaka (JPN),25 FEB 2024,1193,Full
2004,2:08:03,Ben Chelimo SOMIKWO,UGA,Daegu (KOR),07 APR 2024,1193,Full
2005,2:08:04,Philip SESEMANN,GBR,Sevilla (ESP),18 FEB 2024,1192,Full
2006,2:08:04,Carlos DÍAZ,CHI,Sevilla (ESP),18 FEB 2024,1192,Full
2007,2:08:04,Xiangdong WU,CHN,Osaka (JPN),25 FEB 2024,1192,Full
2008,2:08:05,Iliass AOUANI,ITA,Barcelona (ESP),10 MAR 2024,1192,Full
2009,2:08:05,Merhawi KESETE,ERI,Košice (SVK),06 OCT 2024,1192,Full
2010,2:08:06,Shohei OTSUKA,JPN,Osaka (JPN),25 FEB 2024,1192,Full
2011,2:08:09,Sila KIPTOO,KEN,Roma (ITA),17 MAR 2024,1191,Full
2012,2:08:10,Solomon SUTER,KEN,Wuxi (CHN),24 MAR 2024,1191,Full
2013,2:08:11,Tsubasa ICHIYAMA,JPN,Osaka (JPN),25 FEB 2024,1191,Full
2014,2:08:11,Raphael KOLIAN,KEN,Eindhoven (NED),13 OCT 2024,1191,Full
2015,2:08:12,Guojian DONG,CHN,Osaka (JPN),25 FEB 2024,1190,Full
2016,2:08:12,Conner MANTZ,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1190,Full
2017,2:08:15,Douglas CHEBII,KEN,Dubai (UAE),07 JAN 2024,1189,Full
2018,2:08:15,Goitom KIFLE,ERI,Linz (AUT),07 APR 2024,1189,Full
2019,2:08:15,Abdisa TOLA,ETH,Cape Town (RSA),20 OCT 2024,1189,Full
2020,2:08:17,Yitayal Atnafu ZERIHUN,ETH,Sevilla (ESP),18 FEB 2024,1189,Full
2021,2:08:17,CJ ALBERTSON,USA,"Chicago, IL (USA)",13 OCT 2024,1189,Full
2022,2:08:18,Kaan Kigen ÖZBILEN,TUR,Daegu (KOR),07 APR 2024,1189,Full
2023,2:08:20,Gebise DEBELE,ETH,Chongqing (CHN),24 MAR 2024,1188,Full
2024,2:08:21,Yuhei URANO,JPN,Tokyo (JPN),03 MAR 2024,1188,Full
2025,2:08:22,Timothy KIPCHUMBA,KEN,Padova (ITA),21 APR 2024,1187,Full
2026,2:08:22,Toshiki SADAKATA,JPN,"Chicago, IL (USA)",13 OCT 2024,1187,Full
2027,2:08:24,Yuta SHIMODA,JPN,Oita (JPN),04 FEB 2024,1187,Full
2028,2:08:25,Gerba DIBABA,ETH,Milano (ITA),07 APR 2024,1187,Full
2029,2:08:26,Dario IVANOVSKI,MKD,Sevilla (ESP),18 FEB 2024,1186,Full
2030,2:08:26,Michael KAMAU,KEN,Wuxi (CHN),24 MAR 2024,1186,Full
2031,2:08:27,Tolosa GELETO,ETH,Milano (ITA),07 APR 2024,1186,Full
2032,2:08:29,Haftom WELDAY,GER,Sevilla (ESP),18 FEB 2024,1185,Full
2033,2:08:30,Desalegn GIRMA,ETH,Taiyuan (CHN),22 SEP 2024,1185,Full
2034,2:08:31,Dickson KIPTOO,KEN,Košice (SVK),06 OCT 2024,1185,Full
2035,2:08:32,Gilbert KIBET,KEN,Daegu (KOR),07 APR 2024,1185,Full
2036,2:08:32,Erenjia JIA,CHN,Berlin (GER),29 SEP 2024,1185,Full
2037,2:08:32,Kennedy KIPYEKO,KEN,Eindhoven (NED),13 OCT 2024,1185,Full
2038,2:08:32,Adane KEBEDE,ETH,Cape Town (RSA),20 OCT 2024,1185,Full
2039,2:08:33,Alemayehu MEKONEN,ETH,Sevilla (ESP),18 FEB 2024,1184,Full
2040,2:08:33,Kento KIKUTANI,JPN,Osaka (JPN),25 FEB 2024,1184,Full
2041,2:08:33,Kenji YAMAMOTO,JPN,Tokyo (JPN),03 MAR 2024,1184,Full
2042,2:08:33,Aredom DEGEFA,ETH,Daegu (KOR),07 APR 2024,1184,Full
2043,2:08:33,Wisley KIMELI,KEN,Lisboa (POR),06 OCT 2024,1184,Full
2044,2:08:34,Benard KIMELI,KEN,Tokyo (JPN),03 MAR 2024,1184,Full
2045,2:08:34,Abraham KIPTOO,KEN,Wuxi (CHN),24 MAR 2024,1184,Full
2046,2:08:38,Hironori KISHIMOTO,JPN,Oita (JPN),04 FEB 2024,1183,Full
2047,2:08:38,Dejene DEBELA,ETH,Linz (AUT),07 APR 2024,1183,Full
2048,2:08:38,Silas TOO,KEN,Eindhoven (NED),13 OCT 2024,1183,Full
2049,2:08:39,Wilfred Kirwa KIGEN,KEN,Riyadh (KSA),10 FEB 2024,1183,Full
2050,2:08:40,Sezgin ATAÇ,TUR,Sevilla (ESP),18 FEB 2024,1182,Full
2051,2:08:42,Abderrazak CHARIK,FRA,Sevilla (ESP),18 FEB 2024,1182,Full
2052,2:08:42,Martin MUSAU,UGA,Hamburg (GER),28 APR 2024,1182,Full
2053,2:08:43,Omar Ait CHITACHEN,MAR,Marrakech (MAR),28 JAN 2024,1182,Full
2054,2:08:44,Hugo CATRILEO,CHI,"Houston, TX (USA)",14 JAN 2024,1181,Full
2055,2:08:44,Yuki TAKEI,JPN,Osaka (JPN),25 FEB 2024,1181,Full
2056,2:08:44,Clayton YOUNG,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1181,Full
2057,2:08:47,Eliasa KIBET,KEN,Padova (ITA),21 APR 2024,1180,Full
2058,2:08:47,Moses KEMEI,KEN,Dublin (IRL),27 OCT 2024,1180,Full
2059,2:08:50,Kibrom DESTA HABTU,ETH,Seoul (KOR),17 MAR 2024,1180,Full
2060,2:08:51,Abe GASHAHUN,ETH,Riyadh (KSA),10 FEB 2024,1179,Full
2061,2:08:51,Alex Chesiro MASAI,KEN,"Chicago, IL (USA)",13 OCT 2024,1179,Full
2062,2:08:52,Enyew MEKONNEN,ETH,Sevilla (ESP),18 FEB 2024,1179,Full
2063,2:08:52,Ken NAKAYAMA,JPN,Osaka (JPN),25 FEB 2024,1179,Full
2064,2:08:52,Filimon ABRAHAM,GER,Berlin (GER),29 SEP 2024,1179,Full
2065,2:08:53,Paul LONYANGATA,KEN,Daegu (KOR),07 APR 2024,1179,Full
2066,2:08:56,Bayelign TESHAGER,ETH,Dubai (UAE),07 JAN 2024,1178,Full
2067,2:08:56,Elroy GELANT,RSA,Sevilla (ESP),18 FEB 2024,1178,Full
2068,2:08:56,Berhane Tsegay TEKLE,ERI,Chongqing (CHN),24 MAR 2024,1178,Full
2069,2:08:56,Fredrick KIBII,KEN,Linz (AUT),07 APR 2024,1178,Full
2070,2:08:56,Samsom AMARE,ERI,"Stade de France, Paris (FRA)",10 AUG 2024,1178,Full
2071,2:08:57,Mitku TAFA,ETH,Madrid (ESP),28 APR 2024,1178,Full
2072,2:08:58,Ben PREISNER,CAN,Oita (JPN),04 FEB 2024,1177,Full
2073,2:08:58,Taoufik ALLAM,MAR,Enschede (NED),21 APR 2024,1177,Full
2074,2:08:58,Andrew BUCHANAN,AUS,Hamburg (GER),28 APR 2024,1177,Full
2075,2:08:58,Belay Tilahun BEZABEH,ETH,Gold Coast (AUS),07 JUL 2024,1177,Full
2076,2:08:59,Ilham Tanui ÖZBILEN,TUR,Milano (ITA),07 APR 2024,1177,Full
2077,2:09:02,Abdellah TAGHARRAFET,MAR,Daegu (KOR),07 APR 2024,1176,Full
2078,2:09:03,Hamza SAHLI,MAR,Casablanca (MAR),27 OCT 2024,1176,Full
2079,2:09:04,Gizealew AYANA,ETH,Paris (FRA),07 APR 2024,1176,Full
2080,2:09:04,Bethwel YEGON,KEN,Buenos Aires (ARG),22 SEP 2024,1176,Full
2081,2:09:05,Shoma HOSOYA,JPN,Osaka (JPN),25 FEB 2024,1175,Full
2082,2:09:06,Ebba Tulu CHALA,SWE,Sevilla (ESP),18 FEB 2024,1175,Full
2083,2:09:06,Robert KWAMBAI,KEN,Rabat (MAR),21 APR 2024,1175,Full
2084,2:09:07,Tachlowini GABRIYESOS,ART,Sevilla (ESP),18 FEB 2024,1175,Full
2085,2:09:08,Simion KAMETO,KEN,Eindhoven (NED),13 OCT 2024,1175,Full
2086,2:09:08,Abebe TILAHUN,ETH,Venezia (ITA),27 OCT 2024,1175,Full
