Serial,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Pace (min/mi),Pace (min/km),Time (min),Distance (km),Activity Time (s),Time
152103,68238567,Takashi Soma,13118600821,午後のランニング,nan,2024-12-15 08:35:34+00:00,1451,Run,"Takanezawa, Japan",0.0,6.078313253012048,20.18,3.32,1210.8,20 m 11 s
154007,89025421,Ivan Siuris,13118793482,Morning Run,nan,2024-12-15 07:10:59+00:00,5307,Run,"Chișinau, Moldova",0.0,4.397801099450274,88.0,20.01,5280.0,1 h 28 m
153242,77830180,Keisuke Yokota,13118920529,Afternoon Run,nan,2024-12-15 07:38:48+00:00,7500,Run,"Asaka, Japan",0.0,5.154639175257732,115.0,22.31,6900.0,1 h 55 m
152290,60155357,Youssef Benzamia,13118933405,Morning Run,nan,2024-12-15 07:07:29+00:00,2441,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.2272727272727275,40.25,7.7,2415.0,40 m 15 s
152424,60155357,Youssef Benzamia,13118933405,Morning Run,nan,2024-12-15 07:07:29+00:00,2441,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.2272727272727275,40.25,7.7,2415.0,40 m 15 s
151274,83372861,Kristian Uldbjerg Hansen,13119387385,SLR 1/2,nan,2024-12-15 08:28:51+00:00,5227,Run,"Aarhus Municipality, Denmark",0.0,4.5175683212493025,81.0,17.93,4860.0,1 h 21 m
151275,83372861,Kristian Uldbjerg Hansen,13119387774,SLR 2/2,"Gode ben, så let progressivt mod slutningen🤝🏼",2024-12-15 09:56:23+00:00,1937,Run,"Aarhus Municipality, Denmark",0.0,3.865361077111383,31.58,8.17,1894.8,31 m 35 s
153010,69143721,Jonathan Grahn,13119410653,Långpass,Jag trodde jag joggade,2024-12-15 08:38:45+00:00,6793,Run,"Mölndals kommun, Sweden",0.0,3.638253638253638,105.0,28.86,6300.0,1 h 45 m
151365,64360338,Hamza Sahli,13120363798,Lunch Swim,nan,2024-12-15 11:26:29+00:00,1856,Swim,nan,0.0,0.0,0.0,30.0,0.0,150 bpm
151366,64360338,Hamza Sahli,13120373375,Natation le midi,nan,2024-12-15 11:08:00+00:00,1590,Swim,nan,0.0,0.0,0.0,1.0,0.0,2:12 /100m
153806,66783639,Duncan Perrillat,13120613330,Course à pied le midi,nan,2024-12-15 11:34:31+00:00,3603,Run,"Grenoble, France",0.0,4.524886877828054,60.0,13.26,3600.0,1 h 0 m
150405,93170673,Stefan Nillessen,13120717599,NK lange cross 6de,1/2,2024-12-15 11:59:56+00:00,1792,Run,"Eersel, Netherlands",0.0,3.1017653167185877,29.87,9.63,1792.2,29 m 52 s
150404,93170673,Stefan Nillessen,13121483528,NK korte cross🥈,Race 2/2,2024-12-15 13:59:55+00:00,452,Run,"Eersel, Netherlands",0.0,2.988095238095238,7.53,2.52,451.8,7 m 32 s
152767,69562064,José Carlos Pinto,13121916373,Pre race shake out,nan,2024-12-15 12:16:09+00:00,1456,Run,"Oeiras, Portugal",0.0,3.938333333333333,23.63,6.0,1417.8,23 m 38 s
152768,69562064,José Carlos Pinto,13121916415,Corrida da hora do almoço,nan,2024-12-14 11:17:29+00:00,2135,Run,"Oeiras, Portugal",0.0,4.2525,34.02,8.0,2041.2000000000005,34 m 1 s
152860,87287379,Carson Williams,13121955910,Morning Run,nan,2024-12-15 14:54:02+00:00,1688,Run,"Travelers Rest, USA",0.0,4.368012422360248,28.13,6.44,1687.8,28 m 8 s
152918,87287379,Carson Williams,13121955910,Morning Run,nan,2024-12-15 14:54:02+00:00,1688,Run,"Travelers Rest, USA",0.0,4.368012422360248,28.13,6.44,1687.8,28 m 8 s
153406,61783860,Shane Streich,13122239682,Morning Run,nan,2024-12-15 14:32:19+00:00,4995,Run,"Smyrna, USA",0.0,4.132231404958678,80.0,19.36,4800.0,1 h 20 m
153517,61783860,Shane Streich,13122239682,Morning Run,nan,2024-12-15 14:32:19+00:00,4995,Run,"Smyrna, USA",0.0,4.132231404958678,80.0,19.36,4800.0,1 h 20 m
154221,74338147,Erin Strzelecki,13122297621,Morning Run,nan,2024-12-15 15:35:37+00:00,1729,Run,"Saint Joseph County, USA",0.0,4.5007874015748035,28.58,6.35,1714.8,28 m 35 s
151018,99220051,Athanas Kioko,13122742649,Morning Run,173 Training Load -- from COROS,2024-12-15 15:17:54+00:00,4903,Run,"Habersham County, USA",0.0,4.29927414852038,77.0,17.91,4620.0,1 h 17 m
151065,99220051,Athanas Kioko,13122742649,Morning Run,173 Training Load -- from COROS,2024-12-15 15:17:54+00:00,4903,Run,"Habersham County, USA",0.0,4.29927414852038,77.0,17.91,4620.0,1 h 17 m
154006,89025421,Ivan Siuris,13122810820,Afternoon Weight Training,nan,2024-12-15 15:34:41+00:00,6421,WeightTraining,nan,0.0,0.0,0.0,1.0,0.0,717 Cal
150396,98279354,Marco Arop,13123176435,Lunch Run,43 Training Load -- from COROS,2024-12-09 17:15:32+00:00,1742,Run,"Oktibbeha County, USA",0.0,4.610766045548654,22.27,4.83,1336.2,22 m 16 s
150395,98279354,Marco Arop,13123178212,Lunch Run,193 Training Load -- from COROS,2024-12-12 18:36:37+00:00,1351,Run,"Oktibbeha County, USA",0.0,4.148362235067437,21.53,5.19,1291.8000000000002,21 m 32 s
150394,98279354,Marco Arop,13123178633,Rocket City Back Half Marathon,First half marathon. Felt great!,2024-12-15 15:00:02+00:00,4275,Run,"Huntsville, USA",0.0,3.328645100797,71.0,21.33,4260.0,1 h 11 m
153709,78680893,Gracelyn Larkin,13123514011,Lunch Run,nan,2024-12-15 17:14:06+00:00,7796,Run,"Huntsville, Canada",0.0,4.617772603802871,119.0,25.77,7140.0,1 h 59 m
150836,63449551,Olivia Markezich,13123532548,Workout,"Wu, cd outside. 7xmile on the treadmill (So mileage off— 13 total)",2024-12-15 16:46:10+00:00,8575,Run,"Boulder, USA",0.0,4.791995787256451,91.0,18.99,5460.0,1 h 31 m
150905,63449551,Olivia Markezich,13123532548,Workout,"Wu, cd outside. 7xmile on the treadmill (So mileage off— 13 total)",2024-12-15 16:46:10+00:00,8575,Run,"Boulder, USA",0.0,4.791995787256451,91.0,18.99,5460.0,1 h 31 m
