source_file,sha256,byte_count,row_count,schema_signature,schema_columns_json,extraction_time_utc,source_system,source_role,source_commit,read_error
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_27.csv,e5c196e2a1436db10f964a45ecb51234b8aac03b365572f8ea761d6aa11e06ed,40448,450,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_27_30r.csv,6b25252a977075beafaf76547f0d43e5d61799e540928fcb8b0cb6de5b28cf39,85743,1350,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_27_indiv_activities.csv,e0eafa1662d9b6aa43b0b43bcd4c4fcaaf3558accf1411564001ec963376b72e,376399,2547,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_28.csv,3f7347d63890bebb09414a59ab9b0db71b4b392b9edf6da4863fa689665495ee,40590,450,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_28_indiv_activities.csv,9beae68ebe7a364b548f4113177efb215bb6c5e8d3546fd2f61d18ebf3472983,240275,1741,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_29.csv,5e9212fc70f4b9be07d4e562743786beb8b5b5d261b93fff662e3f7ef355b9ed,43378,450,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_29_indiv_activities.csv,3a4a52d8308146b3d10fea56de58194448d6701e99db6de5de112d4627ff7782,346253,2474,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_2_indiv_activities.csv,1b00df2c74ea4dd8eebaa0783a105082f8f4186bbaade58c4801a8c4c68fb016,314467,2310,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_2_meta.csv,d56a008d996fa46916783e091d2232ef2daca3e33d175e7f03350ed5f0ed3e09,22862,225,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_30.csv,ecc041e979b3de11517e62965296757f991b0bc50e423b120e22ccf7b01aa822,125418,1350,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_30_indiv_activities_30.csv,320dfc3bbb19e0fd140ac375d1e0e30ad27b3e02b75d73b15f46a75f49317f67,1024683,6380,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_31.csv,70309114cfd38c59732beeed0769b8643d9d62a78100b371dfbc98f3a5f9da4a,34898,450,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_31_indiv_activities.csv,88e0b84bf517227021f11490a5f7a40f4c0969fc913c55da90dc93d5ace2e021,165054,1270,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_32.csv,6ac6b35f33dfc8c58458437c8c044d216cb54967f356ce337252d6be0610eae1,41800,450,3180c6fcde557aed2a6a16f7be9ae1918cd05e7470565c14a9ef2eba8a437cdc,"["""",""Athlete ID"",""Name"",""Week Number"",""Date Range"",""Distance (km)"",""Time"",""Elevation (m)""]",2026-09-02T18:00:00Z,unknown_legacy,curated_candidate,external-offline-backup,
external-drive/elite-endurance-viz-data-dump/data_0602251819H/raw_data/batch_32_indiv_activities.csv,d06997628cdca6d52d7722508632da2edb57e84d8164926d68314e338f9e3599,247335,1707,f7cc77e8cd24d5eaf50c071004c51c8f02441b164cc352e3d824a84693bdb495,"["""",""Athlete ID"",""Athlete Name"",""Activity ID"",""Activity Name"",""Description"",""Start Date"",""Elapsed Time"",""Type"",""Location"",""Distance (mi)"",""Pace (min/mi)"",""Time""]",2026-09-02T18:00:00Z,strava,curated_candidate,external-offline-backup,
