Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Date_Created,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility,2024 Weeks Scraped
87.0,1:45.27,Mateusz BORKOWSKI,POL,"Stade de France, Paris (FRA)",08 AUG 2024,1165,800m,M,30 Oct 24,15305175.0,179.0,601.0,Public,45.0
88.0,1:45.28,Rynard SWANEPOEL,RSA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1165,800m,M,30 Oct 24,19679748.0,0.0,0.0,Public,45.0
2142.0,2:09:41,Nekagenet CRIPPA,ITA,Rotterdam (NED),14 APR 2024,1165,Full,M,30 Oct 24,121210669.0,0.0,0.0,Public,45.0
2143.0,2:09:41,Kipsambu KIMAKAL,KEN,Venezia (ITA),27 OCT 2024,1165,Full,M,30 Oct 24,,,,,
2144.0,2:09:42,Il Ryong HAN,PRK,Wuxi (CHN),24 MAR 2024,1165,Full,M,30 Oct 24,,,,,
2148.0,2:09:44,Abraraw MISGANAW,ETH,Dublin (IRL),27 OCT 2024,1165,Full,M,30 Oct 24,,,,,
2145.0,2:09:42,Hiko Tonosa HASO,IRL,Dublin (IRL),27 OCT 2024,1165,Full,M,30 Oct 24,,,,,
84.0,1:45.27,Chamar CHAMBERS,PAN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1165,800m,M,30 Oct 24,60337129.0,213.0,0.0,Public,45.0
2146.0,2:09:43,Ayad LAMDASSEM,ESP,Sevilla (ESP),18 FEB 2024,1165,Full,M,30 Oct 24,,,,,
1175.0,13:26.16,Benard KETER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1165,5000m,M,30 Oct 24,17939434.0,0.0,0.0,Public,45.0
867.0,14:59.19,Robe DIDA,ETH,"LAZ Wien, Wien (AUT)",22 JUN 2024,1165,5000m,F,30 Oct 24,41880009.0,10.0,111.0,Private,
826.0,8:20.36,Yutaro NIINAE,JPN,"Denka Big Swan Stadium, Niigata (JPN)",29 SEP 2024,1165,3000m Steeple,M,30 Oct 24,,,,,
1025.0,13:12.20,Eduardo HERRERA,MEX,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1165,5000m,M,30 Oct 24,22542153.0,80.0,899.0,Public,45.0
2147.0,2:09:44,Moses KIBET,KEN,Daegu (KOR),07 APR 2024,1165,Full,M,30 Oct 24,,,,,
457.0,4:07.80,Regan YEE,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1165,1500m,F,30 Oct 24,11328161.0,2749.0,53.0,Public,45.0
2141.0,2:09:41,Philemon RONO,KEN,Wuhan (CHN),24 MAR 2024,1165,Full,M,30 Oct 24,,,,,
,2:08:06,Gilbert KIBET,KEN,Seoul (KOR),03 NOV 2024,1165,Full,M,15 Jan 25,41123687.0,,,Public,0.0
1110.0,31:30.95,Tekan BERHE,ETH,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1165,10000m,F,30 Oct 24,,,,,
1026.0,13:12.28,Samuel KIBATHI,KEN,"Municipal Stadium, Kitami (JPN)",06 JUL 2024,1165,5000m,M,30 Oct 24,,,,,
,2:24:57,Soukaina ATANANE,MAR,Valencia (ESP),01 DEC 2024,1165,Full,F,15 Jan 25,,,,,
,14:59,Asmarech ANLEY,ETH,Leicester (GBR),16 MAR 2024,1165,5k Road,F,15 Jan 25,,,,,
,2:24:57,Sadiya AWEL,ETH,Hangzhou (CHN),03 NOV 2024,1165,Full,F,15 Jan 25,,,,,
,31:31,Svetlana APLACHKINA,RUS,"Luzhniki Arena, Moskva (RUS)",12 OCT 2024,1165,10k Road,F,15 Jan 25,29862838.0,4289.0,29.0,Public,0.0
,1:00:32,Abdullahi JAMA MOHAMED,SOM,Al Khobar (KSA),14 DEC 2024,1165,Half,M,15 Jan 25,,,,,
694.0,9:31.29,Adva COHEN,ISR,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1165,3000m Steeple,F,30 Oct 24,42530422.0,3.0,3.0,Private,
1278.0,1:08:18,Yuka ANDO,JPN,Osaka (JPN),28 JAN 2024,1165,Half,F,30 Oct 24,,,,,
455.0,3:35.68,Kasey KNEVELBAARD,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1165,1500m,M,30 Oct 24,18958757.0,3987.0,482.0,Public,45.0
456.0,3:35.73,Filip OSTROWSKI,POL,"Stade Delort, Marseille (FRA)",22 MAY 2024,1165,1500m,M,30 Oct 24,99277269.0,830.0,33.0,Public,45.0
70.0,1:59.82,McKenna KEEGAN,USA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1165,800m,F,30 Oct 24,26482842.0,0.0,29.0,Public,45.0
454.0,3:35.67,Abel KIPSANG,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1165,1500m,M,30 Oct 24,57016481.0,0.0,0.0,Public,45.0
1655.0,2:26:47,Cuomu CIREN,CHN,Hengshui (CHN),22 SEP 2024,1165,Full,F,30 Oct 24,,,,,
695.0,9:31.59,Simone FERRAZ,BRA,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1165,3000m Steeple,F,30 Oct 24,17613500.0,0.0,22.0,Public,45.0
1654.0,2:26:47,Sardana TROFIMOVA,KGZ,"Stade de France, Paris (FRA)",11 AUG 2024,1165,Full,F,30 Oct 24,,,,,
1653.0,2:26:47,Luz Mery ROJAS,PER,Sevilla (ESP),18 FEB 2024,1165,Full,F,30 Oct 24,121836540.0,0.0,14.0,Public,45.0
1652.0,2:26:43,Chimdesa KUMSA,ETH,Taiyuan (CHN),22 SEP 2024,1165,Full,F,30 Oct 24,,,,,
1310.0,27:38.87,Andrew HUNTER,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1165,10000m,M,30 Oct 24,3315425.0,900.0,1372.0,Public,45.0
1309.0,27:38.39,Rory LEONARD,GBR,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1165,10000m,M,30 Oct 24,19686000.0,683.0,2.0,Public,45.0
1552.0,1:00:32,David Shungeya NEIYIAI,KEN,Marugame (JPN),04 FEB 2024,1165,Half,M,30 Oct 24,,,,,
,1:08:21,Shiori YOSHIZONO,JPN,Okayama (JPN),15 DEC 2024,1164,Half,F,15 Jan 25,,,,,
2152.0,2:09:48,Edwin KIPRUTO,KEN,Lisboa (POR),06 OCT 2024,1164,Full,M,30 Oct 24,68067100.0,54.0,0.0,Public,45.0
,2:24:59,Kana KOBAYASHI,JPN,Hofu (JPN),01 DEC 2024,1164,Full,F,15 Jan 25,68097821.0,943.0,19.0,Public,0.0
2151.0,2:09:47,Mathews LEETO,RSA,Durban (RSA),28 APR 2024,1164,Full,M,30 Oct 24,,,,,
1662.0,2:26:53,Pauline ESIKON,KEN,Berlin (GER),29 SEP 2024,1164,Full,F,30 Oct 24,,,,,
,51:26,Emily DURGIN,USA,"Washington, DC (USA)",07 APR 2024,1164,10M Road,F,15 Jan 25,107194000.0,,,Public,0.0
,31:32,Daisy JEPKEMEI,KAZ,Brasov (ROU),22 SEP 2024,1164,10k Road,F,15 Jan 25,,,,,
71.0,1:59.89,Georgia GRIFFITH,AUS,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1164,800m,F,30 Oct 24,26275743.0,638.0,64.0,Public,45.0
,27:39.05,Ryuto IGAWA,JPN,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",23 NOV 2024,1164,10000m,M,15 Jan 25,,,,,
1029.0,13:12.61,Graham BLANKS,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1164,5000m,M,30 Oct 24,,,,,
1281.0,1:08:20,Desta BURKA,ETH,Osaka (JPN),28 JAN 2024,1164,Half,F,30 Oct 24,,,,,
1280.0,1:08:20,Calli HAUGER-THACKERY,GBR,"Houston, TX (USA)",14 JAN 2024,1164,Half,F,30 Oct 24,,,,,
827.0,8:20.48,Mason FERLIC,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",31 MAY 2024,1164,3000m Steeple,M,30 Oct 24,12615695.0,2942.0,46.0,Public,45.0
1279.0,1:08:19,Nigsti HAFTU,ETH,Buenos Aires (ARG),25 AUG 2024,1164,Half,F,30 Oct 24,,,,,
868.0,14:59.63,Izzy FRY,GBR,"LAZ Wien, Wien (AUT)",22 JUN 2024,1164,5000m,F,30 Oct 24,25523358.0,183.0,1.0,Private,
402.0,4:05.26,Hawi ABERA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1164,1500m,F,30 Oct 24,,,,,
1553.0,1:00:34,Nehemiah KIPYEGON,KEN,Copenhagen (DEN),15 SEP 2024,1164,Half,M,30 Oct 24,,,,,
458.0,3:35.77,Melkeneh AZIZE,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1164,1500m,M,30 Oct 24,,,,,
459.0,3:35.80,Thomas KEEN,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1164,1500m,M,30 Oct 24,266183.0,2271.0,435.0,Public,45.0
1656.0,2:26:48,Ruth JEBET,BRN,Zheng-Kai (CHN),31 MAR 2024,1164,Full,F,30 Oct 24,,,,,
2149.0,2:09:45,Benard KIPKORIR,KEN,Chongqing (CHN),24 MAR 2024,1164,Full,M,30 Oct 24,,,,,
1027.0,13:12.44,Amos Kipkurui LANGAT,KEN,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1164,5000m,M,30 Oct 24,,,,,
1661.0,2:26:53,Deshun ZHANG,CHN,Xiamen (CHN),07 JAN 2024,1164,Full,F,30 Oct 24,,,,,
