Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
1216,1:04:14,Ejgayehu TAYE,ETH,Valencia (ESP),27 OCT 2024,1251,Half,F,Ejgayehu TAYE_Half_1:04:14_27 OCT 2024,30 Oct 24
1866,2:04:39,Mohamed ESA,ETH,"Chicago, IL (USA)",13 OCT 2024,1251,Full,M,Mohamed ESA_Full_2:04:39_13 OCT 2024,30 Oct 24
991,13:03.17,Abdihamid NUR,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1251,5000m,M,Abdihamid NUR_5000m_13:03.17_26 JAN 2024,30 Oct 24
353,3:29.54,Niels LAROS,NED,"Stade de France, Paris (FRA)",06 AUG 2024,1251,1500m,M,Niels LAROS_1500m_3:29.54_06 AUG 2024,30 Oct 24
1481,2:18:25,Winfridah Moraa MOSETI,KEN,Hamburg (GER),28 APR 2024,1250,Full,F,Winfridah Moraa MOSETI_Full_2:18:25_28 APR 2024,30 Oct 24
771,8:01.63,Lamecha GIRMA,ETH,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1250,3000m Steeple,M,Lamecha GIRMA_3000m Steeple_8:01.63_02 JUN 2024,30 Oct 24
994,13:03.46,John HEYMANS,BEL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1250,5000m,M,John HEYMANS_5000m_13:03.46_26 JAN 2024,30 Oct 24
995,13:03.57,Morgan BEADLESCOMB,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1249,5000m,M,Morgan BEADLESCOMB_5000m_13:03.57_26 JAN 2024,30 Oct 24
1867,2:04:45,Abdi NAGEEYE,NED,Rotterdam (NED),14 APR 2024,1249,Full,M,Abdi NAGEEYE_Full_2:04:45_14 APR 2024,30 Oct 24
1256,26:46.39,Jacob KIPLIMO,UGA,"Stade de France, Paris (FRA)",02 AUG 2024,1248,10000m,M,Jacob KIPLIMO_10000m_26:46.39_02 AUG 2024,30 Oct 24
643,8:58.67,Alice FINOT,FRA,"Stade de France, Paris (FRA)",06 AUG 2024,1248,3000m Steeple,F,Alice FINOT_3000m Steeple_8:58.67_06 AUG 2024,30 Oct 24
956,12:49.59,Nicholas KIPKORIR,KEN,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1248,5000m,M,Nicholas KIPKORIR_5000m_12:49.59_13 SEP 2024,30 Oct 24
957,12:49.65,Addisu YIHUNE,ETH,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1248,5000m,M,Addisu YIHUNE_5000m_12:49.65_30 MAY 2024,30 Oct 24
1868,2:04:50,Amedework WALELEGN,ETH,Rotterdam (NED),14 APR 2024,1247,Full,M,Amedework WALELEGN_Full_2:04:50_14 APR 2024,30 Oct 24
1869,2:04:50,Amos KIPRUTO,KEN,"Chicago, IL (USA)",13 OCT 2024,1247,Full,M,Amos KIPRUTO_Full_2:04:50_13 OCT 2024,30 Oct 24
996,13:04.05,Patrick DEVER,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1247,5000m,M,Patrick DEVER_5000m_13:04.05_16 FEB 2024,30 Oct 24
772,8:02.36,Abrham SIME,ETH,"Stade Charléty, Paris (FRA)",07 JUL 2024,1247,3000m Steeple,M,Abrham SIME_3000m Steeple_8:02.36_07 JUL 2024,30 Oct 24
773,8:02.36,Amos SEREM,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1247,3000m Steeple,M,Amos SEREM_3000m Steeple_8:02.36_07 JUL 2024,30 Oct 24
1257,26:46.80,Tadese WORKU,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1247,10000m,M,Tadese WORKU_10000m_26:46.80_14 JUN 2024,30 Oct 24
1870,2:04:53,Gashau AYALE,ISR,Sevilla (ESP),18 FEB 2024,1247,Full,M,Gashau AYALE_Full_2:04:53_18 FEB 2024,30 Oct 24
998,13:04.33,Geordie BEAMISH,NZL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1246,5000m,M,Geordie BEAMISH_5000m_13:04.33_26 JAN 2024,30 Oct 24
1217,1:04:29,Joyciline JEPKOSGEI,KEN,Barcelona (ESP),11 FEB 2024,1246,Half,F,Joyciline JEPKOSGEI_Half_1:04:29_11 FEB 2024,30 Oct 24
10,1:42.66,Koitatoi KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1246,800m,M,Koitatoi KIDALI_800m_1:42.66_15 JUN 2024,30 Oct 24
1482,2:18:48,Mestawut FIKIR,ETH,Berlin (GER),29 SEP 2024,1246,Full,F,Mestawut FIKIR_Full_2:18:48_29 SEP 2024,30 Oct 24
1001,13:04.75,Jack ROWE,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1245,5000m,M,Jack ROWE_5000m_13:04.75_16 FEB 2024,30 Oct 24
1000,13:04.62,Benjamin FLANAGAN,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1245,5000m,M,Benjamin FLANAGAN_5000m_13:04.62_26 JAN 2024,30 Oct 24
1483,2:18:51,Workenesh EDESA,ETH,Osaka (JPN),28 JAN 2024,1245,Full,F,Workenesh EDESA_Full_2:18:51_28 JAN 2024,30 Oct 24
1872,2:05:01,Tadesse ABRAHAM,SUI,Barcelona (ESP),10 MAR 2024,1244,Full,M,Tadesse ABRAHAM_Full_2:05:01_10 MAR 2024,30 Oct 24
958,12:50.58,Luis GRIJALVA,GUA,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1244,5000m,M,Luis GRIJALVA_5000m_12:50.58_30 MAY 2024,30 Oct 24
803,14:18.92,Ejgayehu TAYE,ETH,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1244,5000m,F,Ejgayehu TAYE_5000m_14:18.92_25 MAY 2024,30 Oct 24
802,14:18.76,Tsigie GEBRESELAMA,ETH,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1244,5000m,F,Tsigie GEBRESELAMA_5000m_14:18.76_25 MAY 2024,30 Oct 24
1486,2:19:00,Bosena MULATIE,ETH,Berlin (GER),29 SEP 2024,1244,Full,F,Bosena MULATIE_Full_2:19:00_29 SEP 2024,30 Oct 24
1871,2:05:01,Addisu GOBENA,ETH,Dubai (UAE),07 JAN 2024,1244,Full,M,Addisu GOBENA_Full_2:05:01_07 JAN 2024,30 Oct 24
1484,2:18:58,Magdalyne MASAI,KEN,Frankfurt (GER),27 OCT 2024,1244,Full,F,Magdalyne MASAI_Full_2:18:58_27 OCT 2024,30 Oct 24
1485,2:18:59,Honami MAEDA,JPN,Osaka (JPN),28 JAN 2024,1244,Full,F,Honami MAEDA_Full_2:18:59_28 JAN 2024,30 Oct 24
1065,30:04.97,Janeth CHEPNGETICH,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1243,10000m,F,Janeth CHEPNGETICH_10000m_30:04.97_25 MAY 2024,30 Oct 24
1258,26:49.49,Thierry NDIKUMWENAYO,ESP,"Stade de France, Paris (FRA)",02 AUG 2024,1243,10000m,M,Thierry NDIKUMWENAYO_10000m_26:49.49_02 AUG 2024,30 Oct 24
