Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
CONNER MANTZ,7318.19,140.73,493.03,9.48,0.0,0.0,0.0,Conner Mantz,USA,Male,28:00.90|2:08:12,10000m|Full,2,4.04,52,33993248
CONOR MURPHY,2822.32,54.28,193.41,3.72,0.0,0.0,0.0,Conor Murphy,IRL,Male,1:46.95,800m,1,4.11,52,58262623
CORENTIN LE CLEZIO,3650.35,70.2,241.58,4.65,0.0,0.0,0.0,Corentin Le Clezio,FRA,Male,1:44.25|3:39.27,800m|1500m,2,3.97,52,23682243
CRAIG ENGELS,84.34,1.62,6.12,0.12,0.0,0.0,0.0,Craig Engels,USA,Male,1:46.86|3:34.21,800m|1500m,2,4.36,52,31259127
CRISTHIAN ZAMORA,1174.76,22.59,66.3,1.28,0.0,0.0,0.0,Cristhian Zamora,URU,Male,1:02:03|2:13:22,Half|Full,2,3.39,52,40310033
DAIKI HATTORI,2319.02,44.6,189.81,3.65,0.0,0.0,0.0,Daiki Hattori,JPN,Male,1:00:49,Half,1,4.91,52,36047007
DAMIEN DILCHER,1845.75,35.5,127.92,2.46,0.0,0.0,0.0,Damien Dilcher,USA,Male,3:38.85,1500m,1,4.16,52,58635794
DAN KIBET,685.95,13.19,53.57,1.03,1.3,0.0,0.0,Dan Kibet,UGA,Male,13:24.64,5000m,1,4.69,52,30928604
DANIEL ARCE,85.75,1.65,8.92,0.17,15.97,0.0,0.0,Daniel Arce,ESP,Male,8:08.45|13:29.47,3000m Steeple|5000m,2,6.24,52,8112897
DANIEL MICHALSKI,5280.54,101.55,378.12,7.27,3.22,0.0,0.0,Daniel Michalski,USA,Male,8:28.07,3000m Steeple,1,4.3,52,54593767
DANIEL SIMMONS,35.44,0.68,2.35,0.05,0.0,0.0,0.0,Daniel Simmons,USA,Male,13:25.86,5000m,1,3.98,52,24166694
DANIELLE JONES,1246.22,23.97,133.56,2.57,0.0,0.0,0.0,Danielle Jones,USA,Female,2:01.49|4:00.64,800m|1500m,2,6.43,52,19613002
DAVID MULLARKEY,4048.214303,89.96031784444445,276.7463888888889,6.14991975308642,0.0,0.0,0.0,David Mullarkey,GBR,Male,13:28.23,5000m,1,4.101755018509783,45,107373064
DAVIS BOVE,3511.12,67.52,245.23,4.72,43.87,0.0,0.0,Davis Bove,USA,Male,3:35.35,1500m,1,4.19,52,10318023
DENNIS KIPKURUI,954.4834606,21.210743568888887,62.1725,1.3816111111111111,0.0,0.0,0.0,Dennis Kipkurui,KEN,Male,27:45.16|1:02:02,10000m|Half,2,3.908239538959697,45,130452405
DEREK HOLDSWORTH,2561.908346,56.93129657777778,176.26777777777778,3.917061728395062,11.009166666666667,0.0,5.849722222222222,Derek Holdsworth,USA,Male,1:47.37,800m,1,4.128198685631928,45,110408620
DEREK JOHNSON,0.0,0.0,0.0,0.0,2.32,0.0,0.0,Derek Johnson,USA,Male,3:38.50|8:20.90,1500m|3000m Steeple,2,,52,8841155
DILLAN VAN ROOYEN,1628.64,31.32,140.12,2.69,1.27,0.0,0.0,Dillan Van Rooyen,RSA,Male,1:47.40,800m,1,5.16,52,58940900
DILLON MAGGARD,7798.56,149.97,554.06,10.66,0.0,0.0,0.0,Dillon Maggard,USA,Male,3:37.26|13:22.94|27:47.60,1500m|5000m|10000m,3,4.26,52,5665278
DINA ALEKSANDROVA,2996.5,57.63,242.92,4.67,0.0,0.0,0.0,Dina Aleksandrova,RUS,Female,2:29:00,Full,1,4.86,52,49265326
DJILALI BEDRANI,5331.31,102.53,403.31,7.76,3.51,0.0,0.0,Djilali Bedrani,FRA,Male,3:36.41|8:13.73,1500m|3000m Steeple,2,4.54,52,34492691
DUNCAN HAMILTON,1521.91,29.27,105.38,2.03,1.38,0.0,0.0,Duncan Hamilton,USA,Male,3:36.69|8:13.76,1500m|3000m Steeple,2,4.15,52,2688671
DUNCAN PERRILLAT,3081.3711112,68.47491358222223,226.6838888888889,5.03741975308642,123.86583333333331,0.0,0.0,Duncan Perrillat,FRA,Male,2:13:05,Full,1,4.413954970856006,45,66783639
EDWIN KIPTOO,438.763042,9.75028982222222,41.06277777777778,0.9125061728395064,0.0,0.0,15.394444444444444,Edwin Kiptoo,KEN,Male,1:01:24|2:06:10|2:13:35,Half|Full,3,5.61525568661425,45,93911299
EILISH MCCOLGAN,2674.04,51.42,184.18,3.54,0.0,0.0,0.0,Eilish Mccolgan,GBR,Female,31:20.51|1:09:14,10000m|Half,2,4.13,52,21880851
ELIAS NGENY,2186.851659,48.59670353333333,204.39638888888888,4.542141975308642,0.0,0.0,3.5700000000000003,Elias Ngeny,KEN,Male,1:44.79,800m,1,5.6079630654697885,45,61941233
ELIOTT CRESTAN,1768.85,34.02,114.57,2.2,0.0,0.0,0.0,Eliott Crestan,BEL,Male,1:42.43,800m,1,3.89,52,46787646
ELLIE BAKER,1079.89,20.77,100.63,1.94,0.0,0.0,0.0,Ellie Baker,GBR,Female,2:00.16,800m,1,5.59,52,51932246
ELLIS CROSS,5522.23,106.2,370.0,7.12,0.0,0.0,0.0,Ellis Cross,GBR,Male,13:29.63,5000m,1,4.02,52,33655219
EMIL BLOMBERG,3836.69,73.78,275.31,5.29,17.9,0.0,0.0,Emil Blomberg,SWE,Male,8:16.94,3000m Steeple,1,4.31,52,25213063
EMIL DANIELSSON,5795.89,111.46,421.08,8.1,39.72,0.0,0.0,Emil Danielsson,SWE,Male,3:37.51|13:27.42,1500m|5000m,2,4.36,52,14003386
EMILY MACKAY,232.57,4.47,29.62,0.57,0.0,0.0,0.0,Emily Mackay,USA,Female,1:57.87|3:55.90,800m|1500m,2,7.64,52,58424776
EMMA TAVELLA,987.34,18.99,76.11,1.46,0.0,0.0,0.0,Emma Tavella,USA,Female,9:53.51,3000m Steeple,1,4.63,52,13447832
ENOCK KIPKEMBOI,3267.3142548,72.60698344000001,229.165,5.092555555555555,0.0,0.0,0.0,Enock Kipkemboi,KEN,Male,2:11:44,Full,1,4.208318798781008,45,98838651
ERIC AVILA,1297.15,24.95,94.77,1.82,0.0,0.0,0.0,Eric Avila,USA,Male,3:39.46,1500m,1,4.38,52,7059429
ERIC HOLT,7446.29,143.2,537.67,10.34,0.0,0.0,0.0,Eric Holt,USA,Male,1:45.89|3:34.05,800m|1500m,2,4.33,52,34063383
